1	Ob	ob	KOUS	_	_	2	KONJ	_	_
2	Affen	Affe	NN	_	_	0	ROOT	_	_
3	,	,	$,	_	_	2	-PUNCT-	_	_
4	Löwen	Löwe	NN	_	_	2	KON	_	_
5	,	,	$,	_	_	4	-PUNCT-	_	_
6	Schlangen	Schlange	NN	_	_	4	KON	_	_
7	-	-	$(	_	_	6	-PUNCT-	_	_
8	der	der	ART	_	_	10	DET	_	_
9	halbe	halb	ADJA	_	_	10	ATTR	_	_
10	Zoo	Zoo	NN	_	_	11	SUBJ	_	_
11	war	sein	VAFIN	_	_	0	ROOT	_	_
12	schon	schon	ADV	_	_	11	ADV	_	_
13	im	in	APPRART	_	_	11	OBJP	_	_
14	Einsatz	Einsatz	NN	_	_	13	PN	_	_

1	Von	von	APPR	_	_	0	ROOT	_	_
2	Inge	Inge	NE	_	_	1	PN	_	_
3	Braun	Braun	NE	_	_	2	APP	_	_

1	Gemächlich	gemächlich	ADJD	_	_	2	ADV	_	_
2	watschelt	watscheln	VVFIN	_	_	0	ROOT	_	_
3	ein	ein	ART	_	_	4	DET	_	(0
4	Rauhaardackel	Rauhaardackel	NN	_	_	2	SUBJ	_	0)
5	in	in	APPR	_	_	2	PP	_	_
6	den	der	ART	_	_	8	DET	_	_
7	Berliner	Berliner	ADJA	_	_	8	ATTR	_	_
8	Wahlkampf	Wahlkampf	NN	_	_	5	PN	_	_
9	.	.	$.	_	_	8	-PUNCT-	_	_

1	Hat	haben%aux	VAFIN	_	_	0	ROOT	_	_
2	er	er	PPER	_	_	1	SUBJ	_	(0)
3	gerade	gerade	ADV	_	_	6	ADV	_	_
4	seine	seine	PPOSAT	_	_	5	DET	_	(0)
5	Duftmarke	Duftmarke	NN	_	_	6	OBJA	_	_
6	gesetzt	setzen	VVPP	_	_	1	AUX	_	_
7	?	?	$.	_	_	6	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Wir	wir	PPER	_	_	3	SUBJ	_	_
3	lassen	lassen	VVFIN	_	_	9	S	_	_
4	neue	neu	ADJA	_	_	5	ATTR	_	_
5	Bäume	Baum	NN	_	_	6	OBJA	_	_
6	wachsen	wachsen	VVINF	_	_	3	OBJI	_	_
7	"	"	$(	_	_	6	-PUNCT-	_	_
8	,	,	$,	_	_	6	-PUNCT-	_	_
9	versprach	versprechen	VVFIN	_	_	0	ROOT	_	_
10	der	der	ART	_	_	11	DET	_	(0
11	Vierbeiner	Vierbeiner	NN	_	_	9	SUBJ	_	0)
12	auf	auf	APPR	_	_	9	PP	_	_
13	einem	ein	ART	_	_	14	DET	_	_
14	CDU-Wahlplakat	CDU-Wahlplakat	NN	_	_	12	PN	_	_
15	vor	vor	APPR	_	_	9	PP	_	_
16	acht	acht	CARD	_	_	17	ATTR	_	_
17	Jahren	Jahr	NN	_	_	15	PN	_	_
18	.	.	$.	_	_	17	-PUNCT-	_	_

1	Heute	heute	ADV	_	_	2	ADV	_	_
2	verspricht	versprechen	VVFIN	_	_	0	ROOT	_	_
3	man	man	PIS	_	_	2	SUBJ	_	_
4	Arbeitsplätze	Arbeitsplatz	NN	_	_	2	OBJA	_	_
5	,	,	$,	_	_	4	-PUNCT-	_	_
6	keine	kein	PIAT	_	_	7	DET	_	_
7	Bäume	Baum	NN	_	_	4	KON	_	_
8	.	.	$.	_	_	7	-PUNCT-	_	_

1	Braunbären	Braunbär	NN	_	_	3	SUBJ	_	(1)
2	jedoch	jedoch	ADV	_	_	1	ADV	_	_
3	sind	sein%aux	VAFIN	_	_	0	ROOT	_	_
4	nicht	nicht	PTKNEG	_	_	8	ADV	_	_
5	aus	aus	APPR	_	_	8	OBJP	_	_
6	der	die	ART	_	_	7	DET	_	_
7	Mode	Mode	NN	_	_	5	PN	_	_
8	gekommen	kommen	VVPP	_	_	3	AUX	_	_
9	.	.	$.	_	_	8	-PUNCT-	_	_

1	Bereits	bereits	ADV	_	_	2	ADV	_	_
2	1987	1987	CARD	_	_	3	ZEIT	_	_
3	waren	sein%aux	VAFIN	_	_	0	ROOT	_	_
4	sie	sie	PPER	_	_	3	SUBJ	_	(1)
5	in	in	APPR	_	_	8	PP	_	_
6	der	die	ART	_	_	7	DET	_	(2
7	Noch-Mauerstadt	Noch-Mauerstadt	NN	_	_	5	PN	_	2)
8	anzutreffen	an#treffen	VVIZU	_	_	3	AUX	_	_
9	:	:	$.	_	_	8	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Wir	wir	PPER	_	_	3	SUBJ	_	_
3	machen	machen	VVFIN	_	_	8	S	_	_
4	Berlin	Berlin	NE	_	_	3	OBJA	_	(2)
5	bärenstark	bärenstark	ADJD	_	_	3	PRED	_	_
6	"	"	$(	_	_	5	-PUNCT-	_	_
7	,	,	$,	_	_	5	-PUNCT-	_	_
8	versprach	versprechen	VVFIN	_	_	0	ROOT	_	_
9	die	die	ART	_	_	10	DET	_	(12
10	CDU	CDU	NE	_	_	8	SUBJ	_	12)
11	.	.	$.	_	_	10	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Bei	bei	APPR	_	_	4	PP	_	_
3	Tieren	Tier	NN	_	_	2	PN	_	_
4	bleiben	bleiben	VVFIN	_	_	10	S	_	_
5	die	der	ART	_	_	6	DET	_	_
6	Menschen	Mensch	NN	_	_	4	SUBJ	_	_
7	stehen	stehen	VVINF	_	_	4	OBJI	_	_
8	"	"	$(	_	_	7	-PUNCT-	_	_
9	,	,	$,	_	_	7	-PUNCT-	_	_
10	sagt	sagen	VVFIN	_	_	0	ROOT	_	_
11	Klaus	Klaus	NE	_	_	10	SUBJ	_	(3
12	Gehrmann	Gehrmann	NE	_	_	11	APP	_	3)
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Tiere	Tier	NN	_	_	3	SUBJ	_	_
3	sind	sein%aux	VAFIN	_	_	0	ROOT	_	_
4	immer	immer	ADV	_	_	7	ADV	_	_
5	liebenswürdige	liebenswürdig	ADJA	_	_	6	ATTR	_	_
6	Geschöpfe	Geschöpf	NN	_	_	7	PRED	_	_
7	geblieben	bleiben	VVPP	_	_	3	AUX	_	_
8	.	.	$.	_	_	7	-PUNCT-	_	_
9	"	"	$(	_	_	7	-PUNCT-	_	_

1	Der	der	ART	_	_	2	DET	_	(3
2	Oberstudienrat	Oberstudienrat	NN	_	_	3	SUBJ	_	3)
3	ist	sein	VAFIN	_	_	0	ROOT	_	_
4	ein	ein	ART	_	_	6	DET	_	_
5	leidenschaftlicher	leidenschaftlich	ADJA	_	_	6	ATTR	_	_
6	Sammler	Sammler	NN	_	_	3	PRED	_	_
7	.	.	$.	_	_	6	-PUNCT-	_	_

1	Seit	seit	APPR	_	_	3	PP	_	_
2	1961	1961	CARD	_	_	1	PN	_	_
3	hortet	horten	VVFIN	_	_	0	ROOT	_	_
4	der	der	ART	_	_	5	DET	_	(3
5	Leiter	Leiter	NN	_	_	3	SUBJ	_	_
6	des	das	ART	_	_	7	DET	_	(5
7	Oberstufenzentrums	Oberstufenzentrum	NN	_	_	5	GMOD	_	_
8	Banken	Bank	NN	_	_	7	APP	_	_
9	und	und	KON	_	_	8	KON	_	_
10	Versicherungen	Versicherung	NN	_	_	9	CJ	_	_
11	in	in	APPR	_	_	8	PP	_	_
12	Tiergarten	Tiergarten	NE	_	_	11	PN	_	3)|5)
13	Wahlplakate	Wahlplakat	NN	_	_	3	OBJA	_	_
14	aller	alle	PIDAT	_	_	16	DET	_	_
15	deutschen	deutsch	ADJA	_	_	16	ATTR	_	_
16	Landes-	Landeswahl%n	TRUNC	_	_	13	GMOD	_	_
17	und	und	KON	_	_	16	KON	_	_
18	Bundestagswahlen	Bundestagswahl	NN	_	_	17	CJ	_	_
19	.	.	$.	_	_	18	-PUNCT-	_	_

1	Aus	aus	APPR	_	_	30	PRED	_	_
2	dem	das	ART	_	_	3	DET	_	_
