1	Als	als	KOKOM	_	_	17	KOM	_	_
2	Zeichen	Zeichen	NN	_	_	1	CJ	_	_
3	gegen	gegen	APPR	_	_	2	PP	_	_
4	Rassismus	Rassismus	NN	_	_	3	PN	_	_
5	und	und	KON	_	_	4	KON	_	_
6	Fremdenhaß	Fremdenhaß	NN	_	_	5	CJ	_	_
7	hat	haben%aux	VAFIN	_	_	0	ROOT	_	_
8	der	der	ART	_	_	10	DET	_	(1
9	Türkische	türkisch	ADJA	_	_	10	ATTR	_	_
10	Bund	Bund	NN	_	_	7	SUBJ	_	_
11	in	in	APPR	_	_	10	PP	_	_
12	Berlin-Brandenburg	Berlin-Brandenburg	NE	_	_	11	PN	_	1)
13	das	das	ART	_	_	14	DET	_	(0
14	Urteil	Urteil	NN	_	_	17	OBJA	_	_
15	im	in	APPRART	_	_	14	PP	_	_
16	Solingen-Prozeß	Solingen-Prozeß	NN	_	_	15	PN	_	0)|(2)
17	bezeichnet	bezeichnen	VVPP	_	_	7	AUX	_	_
18	.	.	$.	_	_	17	-PUNCT-	_	_

1	Das	das	ART	_	_	2	DET	_	(3
2	Gericht	Gericht	NN	_	_	3	SUBJ	_	3)
3	habe	haben%aux	VAFIN	_	_	9	S	_	_
4	ein	ein	ART	_	_	6	DET	_	_
5	wichtiges	wichtig	ADJA	_	_	6	ATTR	_	_
6	Zeichen	Zeichen	NN	_	_	7	OBJA	_	_
7	gesetzt	setzen	VVPP	_	_	3	AUX	_	_
8	,	,	$,	_	_	7	-PUNCT-	_	_
9	erklärte	erklären	VVFIN	_	_	0	ROOT	_	_
10	der	der	ART	_	_	11	DET	_	(1
11	Verein	Verein	NN	_	_	9	SUBJ	_	1)
12	.	.	$.	_	_	11	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Das	das	ART	_	_	3	DET	_	_
3	Vertrauen	Vertrauen	NN	_	_	8	SUBJ	_	_
4	in	in	APPR	_	_	3	PP	_	_
5	die	die	ART	_	_	7	DET	_	_
6	deutsche	deutsch	ADJA	_	_	7	ATTR	_	_
7	Justiz	Justiz	NN	_	_	4	PN	_	_
8	ist	sein%aux	VAFIN	_	_	0	ROOT	_	_
9	wiederhergestellt	wieder#her#stellen	VVPP	_	_	10	AUX	_	_
10	worden	werden%passiv	VAPP	_	_	8	AUX	_	_
11	.	.	$.	_	_	10	-PUNCT-	_	_
12	"	"	$(	_	_	10	-PUNCT-	_	_

1	Im	in	APPRART	_	_	8	PP	_	_
2	Prozeß	Prozeß	NN	_	_	1	PN	_	(2
3	um	um	APPR	_	_	2	PP	_	_
4	den	der	ART	_	_	5	DET	_	_
5	Brandanschlag	Brandanschlag	NN	_	_	3	PN	_	_
6	von	von	APPR	_	_	5	PP	_	_
7	Solingen	Solingen	NE	_	_	6	PN	_	2)
8	hatte	haben%aux	VAFIN	_	_	0	ROOT	_	_
9	das	das	ART	_	_	10	DET	_	(3
10	Oberlandesgericht	Oberlandesgericht	NN	_	_	8	SUBJ	_	_
11	Düsseldorf	Düsseldorf	NE	_	_	10	APP	_	3)
12	für	für	APPR	_	_	17	PP	_	_
13	alle	alle	PIDAT	_	_	15	DET	_	_
14	vier	vier	CARD	_	_	15	ATTR	_	_
15	Angeklagten	Angeklagter|Angeklagte|Angeklagtes	NN	_	_	12	PN	_	_
16	langjährige	langjährig	ADJA	_	_	17	ATTR	_	_
17	Haftstrafen	Haftstrafe	NN	_	_	18	OBJA	_	_
18	verhängt	verhängen	VVPP	_	_	8	AUX	_	_
19	.	.	$.	_	_	18	-PUNCT-	_	_

