1	Als	als	KOKOM	_	_	29	KOM	_	_
2	erster	erst	ADJA	_	_	3	ATTR	_	_
3	Vertreter	Vertreter	NN	_	_	1	CJ	_	_
4	der	die	ART	_	_	5	DET	_	_
5	Landesregierung	Landesregierung	NN	_	_	3	GMOD	_	_
6	hat	haben%aux	VAFIN	_	_	0	ROOT	_	_
7	Stadtentwicklungssenator	Stadtentwicklungssenator	NN	_	_	6	SUBJ	_	(0
8	Peter	Peter	NE	_	_	7	APP	_	_
9	Strieder	Strieder	NE	_	_	8	APP	_	_
10	(	(	$(	_	_	11	-PUNCT-	_	_
11	SPD	SPD	NE	_	_	9	APP	_	0)
12	)	)	$(	_	_	11	-PUNCT-	_	_
13	ein	ein	ART	_	_	16	DET	_	_
14	stärkeres	stärker	ADJA	_	_	16	ATTR	_	_
15	finanzielles	finanziell	ADJA	_	_	16	ATTR	_	_
16	Engagement	Engagement	NN	_	_	29	OBJA	_	_
17	des	das	ART	_	_	18	DET	_	(3
18	Landes	Land	NN	_	_	16	GMOD	_	3)
19	bei	bei	APPR	_	_	16	PP	_	_
20	der	die	ART	_	_	22	DET	_	_
21	geplanten	geplant	ADJA	_	_	22	ATTR	_	_
22	Sanierung	Sanierung	NN	_	_	19	PN	_	_
23	und	und	KON	_	_	22	KON	_	_
24	Modernisierung	Modernisierung	NN	_	_	23	CJ	_	_
25	des	das	ART	_	_	26	DET	_	(1
26	Olympiastadions	Olympiastadion	NN	_	_	22	GMOD	_	1)
27	in	in	APPR	_	_	29	OBJP	_	_
28	Aussicht	Aussicht	NN	_	_	27	PN	_	_
29	gestellt	stellen	VVPP	_	_	6	AUX	_	_
30	.	.	$.	_	_	29	-PUNCT-	_	_

1	Gegenüber	gegenüber	APPR	_	_	6	PP	_	_
2	dem	der	ART	_	_	3	DET	_	_
3	Fernsehsender	Fernsehsender	NN	_	_	1	PN	_	_
4	TV	TV	NN	_	_	3	APP	_	_
5	Berlin	Berlin	NE	_	_	4	APP	_	_
6	erklärte	erklären	VVFIN	_	_	0	ROOT	_	_
7	er	er	PPER	_	_	6	SUBJ	_	(0)
8	:	:	$.	_	_	7	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Eins	eines	PIS	_	_	3	SUBJ	_	_
3	ist	sein	VAFIN	_	_	0	ROOT	_	_
4	doch	doch	ADV	_	_	3	ADV	_	_
5	klar	klar	ADJD	_	_	3	PRED	_	_
6	:	:	$.	_	_	5	-PUNCT-	_	_
7	Wenn	wenn	KOUS	_	_	12	KONJ	_	_
8	es	es	PPER	_	_	12	SUBJ	_	_
9	sich	#refl	PRF	_	_	11	OBJA	_	_
10	nicht	nicht	PTKNEG	_	_	11	ADV	_	_
11	realisieren	realisieren	VVINF	_	_	12	OBJI	_	_
12	läßt	lassen	VVFIN	_	_	34	NEB	_	_
13	,	,	$,	_	_	12	-PUNCT-	_	_
14	mit	mit	APPR	_	_	11	PP	_	_
15	der	die	ART	_	_	16	DET	_	(2
16	Summe	Summe	NN	_	_	14	PN	_	2)
17	,	,	$,	_	_	16	-PUNCT-	_	_
18	die	die	PRELS	_	_	25	OBJA	_	(2)
19	das	das	ART	_	_	20	DET	_	(3
20	Land	Land	NN	_	_	26	SUBJ	_	_
21	Berlin	Berlin	NE	_	_	20	APP	_	3)
22	bisher	bisher	ADV	_	_	25	ADV	_	_
23	zur	zu	APPRART	_	_	25	OBJP	_	_
24	Verfügung	Verfügung	NN	_	_	23	PN	_	_
25	stellen	stellen	VVINF	_	_	26	AUX	_	_
26	will	wollen%aux	VMFIN	_	_	16	REL	_	_
27	,	,	$,	_	_	26	-PUNCT-	_	_
28	nämlich	nämlich	ADV	_	_	30	ADV	_	_
29	100	100	CARD	_	_	30	ATTR	_	_
30	Millionen	Million	NN	_	_	16	APP	_	_
31	Mark	Mark	NN	_	_	30	APP	_	_
32	,	,	$,	_	_	31	-PUNCT-	_	_
33	dann	dann	ADV	_	_	34	ADV	_	_
34	muß	müssen%aux	VMFIN	_	_	0	ROOT	_	_
35	eben	eben	ADV	_	_	36	ADV	_	_
36	aufgestockt	auf#stocken	VVPP	_	_	37	AUX	_	_
37	werden	werden%passiv	VAINF	_	_	34	AUX	_	_
38	.	.	$.	_	_	37	-PUNCT-	_	_

1	Wir	wir	PPER	_	_	2	SUBJ	_	_
2	brauchen	brauchen	VVFIN	_	_	0	ROOT	_	_
3	ein	ein	ART	_	_	5	DET	_	_
4	modernes	modern	ADJA	_	_	5	ATTR	_	_
5	Olympiastadion	Olympiastadion	NN	_	_	2	OBJA	_	_
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	wenn	wenn	KOUS	_	_	14	KONJ	_	_
8	Berlin	Berlin	NE	_	_	14	SUBJ	_	(3)
9	Austragungsort	Austragungsort	NN	_	_	13	PRED	_	_
10	der	die	ART	_	_	11	DET	_	_
11	Fußballweltmeisterschaft	Fußballweltmeisterschaft	NN	_	_	9	GMOD	_	_
12	2006	2006	CARD	_	_	11	APP	_	_
13	werden	werden	VAINF	_	_	14	AUX	_	_
14	will	wollen%aux	VMFIN	_	_	2	NEB	_	_
15	.	.	$.	_	_	14	-PUNCT-	_	_
16	"	"	$(	_	_	14	-PUNCT-	_	_

1	Bisher	bisher	ADV	_	_	2	ADV	_	_
2	wollen	wollen%aux	VMFIN	_	_	0	ROOT	_	_
3	Senat	Senat	NN	_	_	2	SUBJ	_	_
4	und	und	KON	_	_	3	KON	_	_
5	Bundesregierung	Bundesregierung	NN	_	_	4	CJ	_	_
6	jeweils	jeweils	ADV	_	_	8	ADV	_	_
7	100	100	CARD	_	_	8	ATTR	_	_
8	Millionen	Million	NN	_	_	23	OBJA	_	_
9	Mark	Mark	NN	_	_	8	APP	_	_
10	für	für	APPR	_	_	23	PP	_	_
11	die	die	ART	_	_	13	DET	_	_
12	geplante	geplant	ADJA	_	_	13	ATTR	_	_
13	Sanierung	Sanierung	NN	_	_	10	PN	_	_
14	und	und	KON	_	_	13	KON	_	_
15	Modernisierung	Modernisierung	NN	_	_	14	CJ	_	_
16	des	das	ART	_	_	17	DET	_	(1
17	Olympiastadions	Olympiastadion	NN	_	_	13	GMOD	_	1)
18	ab	ab	APPR	_	_	23	PP	_	_
19	Mai	Mai	NN	_	_	18	PN	_	_
20	2000	2000	CARD	_	_	19	APP	_	_
21	zur	zu	APPRART	_	_	23	OBJP	_	_
22	Verfügung	Verfügung	NN	_	_	21	PN	_	_
23	stellen	stellen	VVINF	_	_	2	AUX	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

1	Ein	ein	ART	_	_	3	DET	_	(4
2	privater	privat	ADJA	_	_	3	ATTR	_	_
3	Investor	Investor	NN	_	_	16	SUBJ	_	4)
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	der	der	PRELS	_	_	14	SUBJ	_	(4)
6	den	der	ART	_	_	7	DET	_	_
7	Restbetrag	Restbetrag	NN	_	_	13	OBJA	_	_
8	von	von	APPR	_	_	7	PP	_	_
9	annähernd	annähernd	ADJD	_	_	11	ATTR	_	(6
10	400	400	CARD	_	_	11	ATTR	_	_
11	Millionen	Million	NN	_	_	8	PN	_	_
12	Mark	Mark	NN	_	_	11	APP	_	6)
13	übernehmen	übernehmen	VVINF	_	_	14	AUX	_	_
14	soll	sollen%aux	VMFIN	_	_	3	REL	_	_
15	,	,	$,	_	_	14	-PUNCT-	_	_
16	wird	werden%passiv	VAFIN	_	_	0	ROOT	_	_
17	noch	noch	ADV	_	_	18	ADV	_	_
18	gesucht	suchen	VVPP	_	_	16	AUX	_	_
19	.	.	$.	_	_	18	-PUNCT-	_	_

1	Die	die	ART	_	_	2	DET	_	_
2	Zahl	Zahl	NN	_	_	5	SUBJ	_	_
3	der	der	ART	_	_	4	DET	_	_
4	Zweifler	Zweifler	NN	_	_	2	GMOD	_	_
5	wächst	wachsen	VVFIN	_	_	0	ROOT	_	_
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	daß	daß	KOUS	_	_	13	KONJ	_	_
8	sich	#refl	PRF	_	_	12	OBJA	_	_
9	überhaupt	überhaupt	ADV	_	_	12	ADV	_	_
10	ein	ein	ART	_	_	11	DET	_	(5
11	Investor	Investor	NN	_	_	13	SUBJ	_	5)
12	finden	finden	VVINF	_	_	13	AUX	_	_
13	wird	werden%aux	VAFIN	_	_	4	NEB	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	der	der	PRELS	_	_	20	SUBJ	_	(5)
16	eine	eine	ART	_	_	18	DET	_	(6
17	solche	solche	PIDAT	_	_	18	ATTR	_	_
18	Summe	Summe	NN	_	_	19	OBJA	_	6)
19	aufbringen	auf#bringen	VVINF	_	_	20	AUX	_	_
20	kann	können%aux	VMFIN	_	_	11	REL	_	_
21	.	.	$.	_	_	20	-PUNCT-	_	_

1	Nach	nach	APPR	_	_	5	PP	_	_
2	Ansicht	Ansicht	NN	_	_	1	PN	_	_
3	von	von	APPR	_	_	2	PP	_	_
4	Strieder	Strieder	NE	_	_	3	PN	_	(0)
5	werde	werden%aux	VAFIN	_	_	0	ROOT	_	_
6	es	es	PPER	_	_	5	SUBJ	_	_
7	"	"	$(	_	_	8	-PUNCT-	_	_
8	noch	noch	ADV	_	_	9	ADV	_	_
9	in	in	APPR	_	_	23	PP	_	_
10	diesem	dieses	PDAT	_	_	11	DET	_	_
11	Jahr	Jahr	NN	_	_	9	PN	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	nicht	nicht	PTKNEG	_	_	9	KON	_	_
