1	Als	als	KOKOM	_	_	6	KOM	_	_
2	erster	erst	ADJA	_	_	3	ATTR	_	_
3	Vertreter	Vertreter	NN	_	_	1	CJ	_	_
4	der	die	ART	_	_	5	DET	_	_
5	Bundesregierung	Bundesregierung	NN	_	_	3	GMOD	_	_
6	verlegt	verlegen	VVFIN	_	_	0	ROOT	_	_
7	der	der	ART	_	_	8	DET	_	(0
8	Staatsminister	Staatsminister	NN	_	_	6	SUBJ	_	_
9	im	in	APPRART	_	_	8	PP	_	_
10	Auswärtigen	auswärtig	ADJA	_	_	11	ATTR	_	(2
11	Amt	Amt	NN	_	_	9	PN	_	2)
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	Helmut	Helmut	NE	_	_	8	APP	_	_
14	Schäfer	Schäfer	NE	_	_	13	APP	_	_
15	(	(	$(	_	_	16	-PUNCT-	_	_
16	FDP	FDP	NE	_	_	14	APP	_	0)
17	)	)	$(	_	_	16	-PUNCT-	_	_
18	,	,	$,	_	_	16	-PUNCT-	_	_
19	seinen	sein	PPOSAT	_	_	20	DET	_	(0)
20	Wohnsitz	Wohnsitz	NN	_	_	6	OBJA	_	_
21	Anfang	Anfang	NN	_	_	6	ZEIT	_	_
22	November	November	NN	_	_	21	APP	_	_
23	nach	nach	APPR	_	_	6	PP	_	_
24	Berlin	Berlin	NE	_	_	23	PN	_	(1)
25	.	.	$.	_	_	24	-PUNCT-	_	_

1	Gleichzeitig	gleichzeitig	ADJD	_	_	2	ADV	_	_
2	werde	werden%aux	VAFIN	_	_	0	ROOT	_	_
3	Schäfer	Schäfer	NE	_	_	2	SUBJ	_	(0)
4	ein	ein	ART	_	_	5	DET	_	_
5	Büro	Büro	NN	_	_	12	OBJA	_	_
6	in	in	APPR	_	_	5	PP	_	_
7	der	die	ART	_	_	8	DET	_	_
8	Außenstelle	Außenstelle	NN	_	_	6	PN	_	_
9	des	das	ART	_	_	11	DET	_	(2
10	Auswärtigen	auswärtig	ADJA	_	_	11	ATTR	_	_
11	Amtes	Amt	NN	_	_	8	GMOD	_	2)
12	beziehen	beziehen	VVINF	_	_	2	AUX	_	_
13	.	.	$.	_	_	12	-PUNCT-	_	_

