1	Wenn	wenn	KOUS	_	_	5	KONJ	_	_
2	AutorInnen	AutorIn	NN	_	_	5	SUBJ	_	_
3	zu	zu	APPR	_	_	5	PRED	_	_
4	Auto-rInnen	AutorIn	NN	_	_	3	PN	_	_
5	werden	werden	VAFIN	_	_	7	NEB	_	_
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	ist	sein	VAFIN	_	_	0	ROOT	_	_
8	das	das	PDS	_	_	7	SUBJ	_	_
9	eine	eine	ART	_	_	10	DET	_	_
10	Angelegenheit	Angelegenheit	NN	_	_	7	PRED	_	_
11	des	das	ART	_	_	13	DET	_	(0
12	automatischen	automatisch	ADJA	_	_	13	ATTR	_	_
13	Trennprogramms	Trennprogramm	NN	_	_	10	GMOD	_	0)
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	das	das	PRELS	_	_	23	SUBJ	_	(0)
16	mit	mit	APPR	_	_	23	OBJP	_	_
17	politisch	politisch	ADJD	_	_	18	ADV	_	_
18	korrekten	korrekt	ADJA	_	_	19	ATTR	_	_
19	Schreibweisen	Schreibweise	NN	_	_	16	PN	_	_
20	unzulässigerweise	unzulässigerweise	ADV	_	_	23	ADV	_	_
21	recht	recht	ADV	_	_	22	ADV	_	_
22	lax	lax	ADJD	_	_	23	ADV	_	_
23	umgeht	um#gehen	VVFIN	_	_	13	REL	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

1	Völlig	völlig	ADJD	_	_	2	ADV	_	_
2	unkorrekt	unkorrekt	ADJD	_	_	4	PRED	_	_
3	hingegen	hingegen	ADV	_	_	2	ADV	_	_
4	ist	sein	VAFIN	_	_	0	ROOT	_	_
5	der	der	ART	_	_	6	DET	_	_
6	Preis	Preis	NN	_	_	4	SUBJ	_	_
7	des	der	ART	_	_	8	DET	_	(1
8	Bandes	Band	NN	_	_	6	GMOD	_	_
9	"	"	$(	_	_	10	-PUNCT-	_	_
10	Sex	Sex	NN	_	_	8	APP	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	Drugs	Drug	NN	_	_	10	KON	_	_
13	&	&	KON	_	_	12	KON	_	_
14	Rock'n'Roll	Rock'n'Roll	NN	_	_	13	CJ	_	_
15	"	"	$(	_	_	14	-PUNCT-	_	_
16	aus	aus	APPR	_	_	10	PP	_	_
17	dem	der	ART	_	_	20	DET	_	_
18	Theodor	Theodor	NE	_	_	16	PN	_	_
19	Schmid	Schmid	NE	_	_	18	APP	_	_
20	Verlag	Verlag	NN	_	_	19	APP	_	1)
21	.	.	$.	_	_	20	-PUNCT-	_	_

