1	Als	als	KOKOM	_	_	3	KOM	_	_
2	Finanzfachmann	Finanzfachmann	NN	_	_	1	CJ	_	_
3	weiß	wissen	VVFIN	_	_	0	ROOT	_	_
4	Volker	Volker	NE	_	_	3	SUBJ	_	(1
5	Lange	Lange	NE	_	_	4	APP	_	1)
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	wie	wie	KOUS	_	_	13	KONJ	_	_
8	in	in	APPR	_	_	12	PP	_	_
9	der	die	ART	_	_	11	DET	_	_
10	freien	frei	ADJA	_	_	11	ATTR	_	_
11	Wirtschaft	Wirtschaft	NN	_	_	8	PN	_	_
12	kalkuliert	kalkulieren	VVPP	_	_	13	AUX	_	_
13	wird	werden%passiv	VAFIN	_	_	3	OBJC	_	_
14	.	.	$.	_	_	13	-PUNCT-	_	_

1	Ausgaben	Ausgabe	NN	_	_	2	SUBJ	_	_
2	werden	werden%passiv	VAFIN	_	_	0	ROOT	_	_
3	den	die	ART	_	_	4	DET	_	_
4	Einnahmen	Einnahme	NN	_	_	5	OBJD	_	_
5	gegenübergestellt	gegenüber#stellen	VVPP	_	_	2	AUX	_	_
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	am	an	APPRART	_	_	10	PP	_	_
8	Ende	Ende	NN	_	_	7	PN	_	_
9	Bilanz	Bilanz	NN	_	_	10	SUBJ	_	_
10	gezogen	ziehen	VVPP	_	_	2	KON	_	_
11	.	.	$.	_	_	10	-PUNCT-	_	_

1	Doch	doch	KON	_	_	0	ROOT	_	_
2	es	es	PPER	_	_	3	SUBJ	_	_
3	gibt	geben	VVFIN	_	_	1	CJ	_	_
4	auch	auch	ADV	_	_	3	ADV	_	_
5	Zwischenrechnungen	Zwischenrechnung	NN	_	_	3	OBJA	_	_
6	-	-	$(	_	_	5	-PUNCT-	_	_
7	und	und	KON	_	_	3	KON	_	_
8	da	da	ADV	_	_	9	ADV	_	_
9	hat	haben	VAFIN	_	_	7	CJ	_	_
10	der	der	ART	_	_	11	DET	_	(0
11	HSV	HSV	NE	_	_	9	SUBJ	_	0)
12	schon	schon	ADV	_	_	9	ADV	_	_
13	jetzt	jetzt	ADV	_	_	9	ADV	_	_
14	ein	ein	ART	_	_	16	DET	_	_
15	großes	groß	ADJA	_	_	16	ATTR	_	_
16	Minus	Minus	NN	_	_	9	OBJA	_	_
17	.	.	$.	_	_	16	-PUNCT-	_	_

1	Was	was	PWS	_	_	15	OBJA	_	_
2	hatten	haben%aux	VAFIN	_	_	0	ROOT	_	_
3	die	der	ART	_	_	5	DET	_	_
4	"	"	$(	_	_	5	-PUNCT-	_	_
5	Freunde	Freund	NN	_	_	2	SUBJ	_	_
6	"	"	$(	_	_	5	-PUNCT-	_	_
7	von	von	APPR	_	_	5	PP	_	_
8	Uwe	Uwe	NE	_	_	7	PN	_	(2
9	Seeler	Seeler	NE	_	_	8	APP	_	2)
10	nicht	nicht	PTKNEG	_	_	15	ADV	_	_
11	alles	alles	PIS	_	_	15	ADV	_	_
12	auf	auf	APPR	_	_	15	OBJP	_	_
13	die	das	ART	_	_	14	DET	_	_
14	Beine	Bein	NN	_	_	12	PN	_	_
15	gestellt	stellen	VVPP	_	_	2	AUX	_	_
16	,	,	$,	_	_	15	-PUNCT-	_	_
17	um	um	KOUI	_	_	25	KONJ	_	_
18	die	der	ART	_	_	19	DET	_	_
19	Hamburger	Hamburger	NN	_	_	25	OBJA	_	_
20	wieder	wieder	ADV	_	_	25	ADV	_	_
21	für	für	APPR	_	_	25	OBJP	_	_
22	den	der	ART	_	_	23	DET	_	(0
23	HSV	HSV	NE	_	_	21	PN	_	0)
24	zu	zu	PTKZU	_	_	25	PART	_	_
25	begeistern	begeistern	VVINF	_	_	2	NEB	_	_
26	.	.	$.	_	_	25	-PUNCT-	_	_

1	Kein	kein	PIAT	_	_	2	DET	_	_
2	Tag	Tag	NN	_	_	3	SUBJ	_	_
3	verging	vergehen	VVFIN	_	_	0	ROOT	_	_
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	ohne	ohne	KOUS	_	_	23	KONJ	_	_
6	daß	daß	KOUS	_	_	23	KONJ	_	_
7	die	die	ART	_	_	8	DET	_	_
8	HSV-Pressestelle	HSV-Pressestelle	NN	_	_	23	SUBJ	_	_
9	-	-	$(	_	_	8	-PUNCT-	_	_
10	aus	aus	APPR	_	_	16	PP	_	_
11	abschreibungstechnischen	abschreibungstechnisch	ADJA	_	_	12	ATTR	_	_
12	Gründen	Grund	NN	_	_	10	PN	_	_
13	bei	bei	APPR	_	_	16	OBJP	_	_
14	der	die	ART	_	_	15	DET	_	_
