1	Um	Um	KOUI	KOUI	_	8	konj	_	-
2	die	die	ART	ART	Def|Fem|_|Sg	4	det	_	-
3	anstehende	anstehend	ADJA	ADJA	Pos|Fem|_|Sg|_|<PPRES	4	attr	_	-
4	Sanierung	Sanierung	N	NN	Fem|_|Sg	8	obja	_	-
5	der	die	ART	ART	Def|Fem|Gen|Sg	6	det	_	(6
6	Gedächtniskirche	Gedächtniskirche	N	NN	Fem|Gen|Sg	4	gmod	_	6)
7	zu	zu	PTKZU	PTKZU	_	8	part	_	-
8	finanzieren	finanzieren	V	VVINF	_	10	neb	_	-
9	,	,	$,	$,	_	0	root	_	-
10	begibt	begeben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
11	sich	sie	PRO	PRF	3|_|_	10	obja	_	-
12	deren	die	ART	PDAT	Fem|Nom|Sg	13	det	_	(0
13	Pfarrerin	Pfarrerin	N	NN	Fem|Nom|Sg	10	subj	_	0)
14	in	in	PREP	APPR	Acc	10	objp	_	-
15	die	die	ART	ART	Def|Fem|Acc|Pl	17	det	_	-
16	rettenden	rettend	ADJA	ADJA	Pos|Fem|Acc|Pl|Wk|<PPRES	17	attr	_	-
17	Hände	Hand	N	NN	Fem|Acc|Pl	14	pn	_	-
18	der	die	ART	ART	Def|_|Gen|_	19	det	_	(12
19	Werbewirtschaft	Werbewirtschaft	N	NN	_|Gen|_	17	gmod	_	12)
20	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(0)
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	uns	wir	PRO	PPER	1|Pl|_|_	6	obja	_	-
4	mal	mal	ADV	ADV	_	6	adv	_	-
5	wieder	wieder	ADV	ADV	_	6	adv	_	-
6	betören	betören	V	VVINF	_	2	aux	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Das	die	ART	ART	Def|Neut|Nom|Sg	3	det	_	(2
2	deutsche	deutsch	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	3	attr	_	-
3	Fräuleinwunder	Fräuleinwunder	N	NN	Neut|Nom|Sg	10	subj	_	-
4	,	,	$,	$,	_	0	root	_	-
5	das	die	ART	ART	Def|Neut|Nom|Sg	6	det	_	-
6	Top-Model	Top-Model	N	NN	Neut|Nom|Sg	3	app	_	-
7	Claudia	Claudia	N	NE	Neut|Nom|Sg	6	app	_	-
8	Schiffer	Schiffer	N	NE	Neut|Nom|Sg	7	app	_	2)
9	,	,	$,	$,	_	0	root	_	-
10	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
11	ab	ab	PREP	APPR	Dat	32	pp	_	-
12	Montag	Montag	N	NN	Masc|Dat|Sg	11	pn	_	-
13	von	von	PREP	APPR	Dat	32	pp	_	-
14	einem	eine	ART	ART	Indef|Neut|Dat|Sg	19	det	_	(1
15	rund	rund	ADV	ADV	_	17	adv	_	-
16	50	50	CARD	CARD	_	17	attr	_	-
17	Meter	Meter	N	NN	_|_|Pl	18	grad	_	-
18	hohen	hoch	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	19	attr	_	-
19	Plakat	Plakat	N	NN	Neut|Dat|Sg	13	pn	_	-
20	,	,	$,	$,	_	0	root	_	-
21	das	die	PRO	PRELS	Neut|Nom|Sg	27	subj	_	(1)
22	den	die	ART	ART	Def|Masc|Acc|Sg	23	det	_	(5
23	Glockenturm	Glockenturm	N	NN	Masc|Acc|Sg	26	obja	_	-
24	der	die	ART	ART	Def|Fem|Gen|Sg	25	det	_	-
25	Kaiser-Wilhelm-Gedächtnis-Kirche	Kaiser-Wilhelm-Gedächtnis-Kirche	N	NN	Fem|Gen|Sg	23	gmod	_	5)
26	umhüllen	umhüllen	V	VVINF	_	27	aux	_	-
27	wird	werden	V	VAFIN	3|Sg|Pres|Ind	19	rel	_	1)
28	,	,	$,	$,	_	0	root	_	-
29	auf	auf	PREP	APPR	Acc	32	pp	_	-
30	die	die	ART	ART	Def|Fem|Acc|Sg	31	det	_	-
31	Hauptstadt	Hauptstadt	N	NN	Fem|Acc|Sg	29	pn	_	-
32	hinabblicken	hinabblicken	V	VVINF	_	10	aux	_	-
33	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	L	L	N	NN	Neut|_|_	0	root	_	-
3	'	'	$(	$(	_	0	root	_	-
4	Oreal	Oreal	N	NE	_|_|Sg	2	app	_	-
5	Paris	Paris	N	NE	_|_|Sg	4	app	_	-
6	,	,	$,	$,	_	0	root	_	-
7	Weil	weil	KOUS	KOUS	_	0	root	_	-
8	ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	(20)
9	es	es	PRO	PPER	3|Sg|Neut|Nom	12	subj	_	-
10	mir	ich	PRO	PRF	1|Sg|Dat	12	objd	_	-
11	wert	wert	ADV	ADJD	Pos|	12	pred	_	-
12	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
13	"	"	$(	$(	_	0	root	_	-
14	,	,	$,	$,	_	0	root	_	-
15	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	-
16	in	in	PREP	APPR	_	28	pp	_	-
17	werbewirksamen	werbewirksamen	ADJA	ADJA	_|Fem|_|Pl|_	18	attr	_	-
18	Lettern	Letter	N	NN	Fem|_|Pl	16	pn	_	-
19	unter	unter	PREP	APPR	Dat	28	objp	_	-
20	Schiffer	Schiffer	N	NE	Masc|Dat|Pl	19	pn	_	(2)
21	und	und	KON	KON	_	20	kon	_	-
22	weiteren	weit	ADJA	ADJA	Comp|Masc|Dat|Pl|_|	25	attr	_	-
23	fünf	fünf	CARD	CARD	_	25	attr	_	-
24	geheimgehaltenen	geheimgehalten	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	25	attr	_	-
25	Köpfen	Kopf	N	NN	Masc|Dat|Pl	21	cj	_	-
26	des	die	ART	ART	Def|Neut|Gen|Sg	27	det	_	(3
27	Plakates	Plakat	N	NN	Neut|Gen|Sg	25	gmod	_	-
28	stehen	stehen	V	VVINF	_	15	aux	_	-
29	,	,	$,	$,	_	0	root	_	-
30	das	die	PRO	PRELS	Neut|Nom|Sg	36	subj	_	(3)
31	an	an	PREP	APPR	Dat	34	pp	_	-
32	einem	eine	ART	ART	Indef|Neut|Dat|Sg	33	det	_	-
33	Baugerüst	Baugerüst	N	NN	Neut|Dat|Sg	31	pn	_	-
34	angebracht	anbringen	V	VVPP	_	35	aux	_	-
35	werden	werden	V	VAINF	_	36	aux	_	-
36	wird	werden	V	VAFIN	3|Sg|Pres|Ind	27	rel	_	3)
37	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	(17
2	Aktion	Aktion	N	NN	Fem|Nom|Sg	7	subj	_	-
3	der	die	ART	ART	Def|_|Gen|_	5	det	_	(4
4	Berliner	Berliner	ADJA	ADJA	Pos|_|Gen|_|_|	5	attr	_	-
5	Werbefirma	Werbefirma	N	NN	_|Gen|_	2	gmod	_	-
6	Fubac	Fubac	N	NE	_|Gen|_	5	app	_	4)|17)
7	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
8	allerdings	allerdings	ADV	ADV	_	18	adv	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
10	nur	nur	ADV	ADV	_	18	adv	_	-
11	der	die	ART	ART	Def|Fem|Dat|Sg	12	det	_	-
12	Firma	Firma	N	NN	Fem|Dat|Sg	18	objd	_	-
13	L	L	N	NN	Neut|_|_	18	obja	_	-
14	'	'	$(	$(	_	0	root	_	-
15	Oreal	oreal	ADV	ADJD	Pos|	16	adv	_	-
16	guten	gut	ADJA	ADJA	Pos|Masc|_|Sg|_|	17	attr	_	-
17	Absatz	Absatz	N	NN	Masc|_|Sg	13	app	_	-
18	bescheren	bescheren	V	VVINF	_	7	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Fubac	Fubac	N	NE	_|Nom|Sg	2	subj	_	(4)
2	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	für	für	PREP	APPR	Acc	11	objp	_	-
4	die	die	ART	ART	Def|_|Acc|Pl	6	det	_	-
5	gesamten	gesamt	ADJA	ADJA	Pos|_|Acc|Pl|Wk|	6	attr	_	-
6	Kosten	Kosten	N	NN	_|Acc|Pl	3	pn	_	-
7	der	die	ART	ART	Def|Fem|Gen|Sg	8	det	_	(8
8	Renovierung	Renovierung	N	NN	Fem|Gen|Sg	6	gmod	_	-
9	des	die	ART	ART	Def|Masc|Gen|Sg	10	det	_	(5
10	Glockenturmes	Glockenturm	N	NN	Masc|Gen|Sg	8	gmod	_	5)|8)
11	aufkommen	aufkommen	V	VVINF	_	2	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	7	pp	_	-
2	dem	die	ART	ART	Def|Neut|Dat|Sg	4	det	_	-
3	steinernen	steinern	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	4	attr	_	-
4	Gemäuer	Gemäuer	N	NN	Neut|Dat|Sg	1	pn	_	-
5	von	von	PREP	APPR	_	4	pp	_	-
6	1895	1895	CARD	CARD	_	5	pn	_	-
7	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
8	Haarrisse	Haarriss	N	NN	Masc|Nom|Pl	7	subj	_	-
9	entdeckt	entdecken	V	VVPP	_	10	aux	_	-
10	worden	werden	V	VAPP	_	7	aux	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Wiederherstellung	Wiederherstellung	N	NN	Fem|Nom|Sg	5	subj	_	-
3	des	die	ART	ART	Def|Masc|Gen|Sg	4	det	_	(11
4	Turmes	Turm	N	NN	Masc|Gen|Sg	2	gmod	_	11)
