1	Vermutungen	Vermutung	N	NN	Fem|Nom|Pl	21	subj	_	-
2	,	,	$,	$,	_	0	root	_	-
3	daß	daß	KOUS	KOUS	_	19	konj	_	-
4	Winnie	Winnie	N	NE	_|Gen|_	6	gmod	_	-
5	Mandelas	Mandelas	N	NE	_|Gen|_	4	app	_	-
6	Leibwache	Leibwache	N	NN	_|Nom|Sg	19	subj	_	-
7	,	,	$,	$,	_	0	root	_	-
8	der	die	ART	ART	Def|Masc|Nom|Sg	11	det	_	-
9	berüchtigte	berüchtigt	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	11	attr	_	-
10	"	"	$(	$(	_	0	root	_	-
11	Fußballklub	Fußballklub	N	NN	Masc|Nom|Sg	6	app	_	-
12	"	"	$(	$(	_	0	root	_	-
13	,	,	$,	$,	_	0	root	_	-
14	von	von	PREP	APPR	_	17	pp	_	-
15	der	die	ART	ART	Def|Fem|_|Sg	16	det	_	(4
16	Polizei	Polizei	N	NN	Fem|_|Sg	14	pn	_	4)
17	unterwandert	unterwandern	V	VVPP	_	18	aux	_	-
18	worden	werden	V	VAPP	_	19	aux	_	-
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	objc	_	-
20	,	,	$,	$,	_	0	root	_	-
21	scheinen	scheinen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
22	sich	sie	PRO	PRF	3|_|_	24	obja	_	-
23	zu	zu	PTKZU	PTKZU	_	24	part	_	-
24	bestätigen	bestätigen	V	VVINF	_	21	obji	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
2	"	"	$(	$(	_	0	root	_	-
3	Trainer	Trainer	N	NN	Masc|Nom|Sg	13	subj	_	-
4	"	"	$(	$(	_	0	root	_	-
5	des	die	ART	ART	Def|Masc|Gen|Sg	6	det	_	(0
6	Klubs	Klub	N	NN	Masc|Gen|Sg	3	gmod	_	-
7	,	,	$,	$,	_	0	root	_	-
8	der	die	ART	ART	Def|Masc|Nom|Sg	10	det	_	-
9	41jährige	41jährig	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	10	attr	_	-
10	Jerry	Jerry	N	NE	Masc|Nom|Sg	3	app	_	-
11	Richardson	Richardson	N	NE	Masc|Nom|Sg	10	app	_	0)
12	,	,	$,	$,	_	0	root	_	-
13	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
14	jüngsten	jung	ADJA	ADJA	Sup|_|Dat|_|_|	15	attr	_	-
15	Berichten	Bericht	N	NN	_|Dat|_	16	pn	_	-
16	zufolge	zufolge	PREP	APPO	Dat	24	pp	_	-
17	schon	schon	ADV	ADV	_	24	adv	_	-
18	seit	seit	PREP	APPR	Dat	24	pp	_	-
19	einiger	einige	ART	PIAT	Fem|Dat|Sg	20	det	_	-
20	Zeit	Zeit	N	NN	Fem|Dat|Sg	18	pn	_	-
21	von	von	PREP	APPR	_	24	pp	_	-
22	Bewohnern	Bewohner	N	NN	Masc|_|_	21	pn	_	-
23	Sowetos	Sowetos	N	NE	Masc|_|_	22	app	_	-
24	verdächtigt	verdächtigen	V	VVPP	_	13	aux	_	-
25	,	,	$,	$,	_	0	root	_	-
26	ein	eine	ART	ART	Indef|Masc|Nom|Sg	27	det	_	-
27	Polizeispitzel	Polizeispitzel	N	NN	Masc|Nom|Sg	29	pred	_	-
28	zu	zu	PTKZU	PTKZU	_	29	part	_	-
29	sein	sein	V	VAINF	_	24	obji	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Richardson	Richardson	N	NE	_|Nom|Sg	2	subj	_	(0)
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	inzwischen	inzwischen	ADV	ADV	_	2	adv	_	-
4	in	in	PREP	APPR	_	2	pp	_	-
5	Untersuchungshaft	Untersuchungshaft	N	NN	_|_|Sg	4	pn	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(0)
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	einer	eine	PRO	PIS	Masc|Nom|Sg	2	pred	_	-
4	von	von	PREP	APPR	_	3	pp	_	-
5	acht	acht	CARD	CARD	_	6	attr	_	-
6	Mitgliedern	Mitglied	N	NN	_|_|Pl	4	pn	_	-
7	des	die	ART	ART	Def|Masc|Gen|Sg	8	det	_	(1
8	Fußballklubs	Fußballklub	N	NN	Masc|Gen|Sg	6	gmod	_	1)
9	,	,	$,	$,	_	0	root	_	-
10	die	die	PRO	PRELS	_|_|_	0	root	_	(1)
11	des	die	ART	ART	Def|_|Gen|Sg	0	root	_	-
12	Mordes	Mord	N	NN	Masc|Gen|Sg	17	gmod	_	-
13	an	an	PREP	APPR	Dat	12	pp	_	-
14	dem	die	ART	ART	Def|Masc|Dat|Sg	16	det	_	-
15	14jährigen	14jährig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	16	attr	_	-
16	Aktivisten	Aktivist	N	NN	Masc|Dat|Sg	13	pn	_	-
17	Stompie	Stompie	N	NE	_|Nom|Pl	20	subj	_	-
18	Seipei	Seipei	N	NE	_|Nom|Pl	17	app	_	-
19	angeklagt	anklagen	V	VVPP	_	20	aux	_	-
20	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
2	in	in	PREP	APPR	_	4	pp	_	-
3	Südafrika	Südafrika	N	NE	Neut|_|Sg	2	pn	_	-
4	verbotene	verboten	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	_	-
5	Afrikanische	afrikanisch	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	_	-
6	Nationalkongreß	Nationalkongreß	N	NN	Masc|Nom|Sg	10	subj	_	-
7	(	(	$(	$(	_	0	root	_	-
8	ANC	ANC	N	NN	Masc|Nom|Sg	6	app	_	-
9	)	)	$(	$(	_	0	root	_	-
10	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
11	nach	nach	PREP	APPR	Dat	21	pp	_	-
12	Bekanntwerden	Bekanntwerden	N	NN	Neut|Dat|Sg	11	pn	_	-
13	der	die	ART	ART	Def|Masc|Gen|Pl	14	det	_	-
14	Vorwürfe	Vorwurf	N	NN	Masc|Gen|Pl	12	gmod	_	-
15	gegen	gegen	PREP	APPR	Acc	14	pp	_	-
16	Winnie	Winnie	N	NE	Masc|Acc|_	15	pn	_	(2
17	Mandela	Mandela	N	NE	Masc|Acc|_	16	app	_	2)
18	und	und	KON	KON	_	17	kon	_	-
19	deren	die	ART	PDAT	Masc|Acc|_	20	det	_	-
20	Leibwächter	Leibwächter	N	NN	Masc|Acc|_	18	cj	_	-
21	gewarnt	warnen	V	VVPP	_	10	aux	_	-
22	,	,	$,	$,	_	0	root	_	-
23	daß	daß	KOUS	KOUS	_	30	konj	_	-
24	der	die	ART	ART	Def|Masc|Nom|Sg	25	det	_	(11
25	Klub	Klub	N	NN	Masc|Nom|Sg	30	subj	_	-
26	vom	von	PREP	APPRART	Dat	25	pp	_	-
27	Apartheid-Regime	Apartheid-Regime	N	NN	Neut|Dat|Sg	26	pn	_	11)
28	genutzt	nutzen	V	VVPP	_	29	aux	_	-
29	worden	werden	V	VAPP	_	30	aux	_	-
30	sei	sein	V	VAFIN	3|Sg|Pres|Subj	21	objc	_	-
31	,	,	$,	$,	_	0	root	_	-
32	um	um	KOUI	KOUI	_	0	root	_	-
33	Streitigkeiten	Streitigkeit	N	NN	Fem|_|Pl	0	root	_	-
34	in	in	PREP	APPR	Dat	33	pp	_	-
35	der	die	ART	ART	Def|Fem|Dat|Sg	36	det	_	-
36	Opposition	Opposition	N	NN	Fem|Dat|Sg	34	pn	_	-
37	anzuzetteln	anzuzetteln	N	NE	Fem|Dat|Sg	36	app	_	-
38	.	.	$.	$.	_	0	root	_	-

1	Dabei	Dabei	PROAV	PROAV	_	2	objp	_	-
2	bleibt	bleiben	V	VVFIN	_|_|Pres|Ind	0	root	_	-
3	unklar	unklar	ADV	ADJD	Pos|	2	pred	_	-
4	,	,	$,	$,	_	0	root	_	-
5	wie	wie	PWAV	PWAV	_	19	adv	_	-
6	Jerry	Jerry	N	NE	_|Nom|Sg	20	subj	_	(0
7	Richardson	Richardson	N	NE	_|Nom|Sg	6	app	_	0)
8	Vertrauter	Vertraute	N	NN	Masc|Nom|Sg	19	pred	_	-
9	der	die	ART	ART	Def|Fem|Gen|Sg	10	det	_	-
10	Ehefrau	Ehefrau	N	NN	Fem|Gen|Sg	8	gmod	_	-
