1	Um	Um	KOUI	KOUI	_	4	konj	_	-
2	die	die	ART	ART	Def|_|_|Pl	3	det	_	-
3	Schiffsbetriebskosten	Schiffsbetriebskosten	N	NN	_|_|Pl	4	obja	_	-
4	einzudämmen	eindämmen	V	VVIZU	_	6	neb	_	-
5	,	,	$,	$,	_	0	root	_	-
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	-
8	Bremer	Bremer	ADJA	ADJA	_|Fem|Nom|Sg|_	9	attr	_	-
9	Reederei	Reederei	N	NN	Fem|Nom|Sg	6	subj	_	-
10	Sloman	Sloman	N	NE	Fem|Nom|Sg	9	app	_	-
11	Neptun	Neptun	N	NN	Masc|_|Sg	14	obja	_	-
12	weitere	weit	ADJA	ADJA	Comp|Fem|_|Pl|St|	13	attr	_	-
13	Ausflaggungen	Ausflaggung	N	NN	Fem|_|Pl	11	app	_	-
14	vorgenommen	vornehmen	V	VVPP	_	6	aux	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Wie	Wie	PWAV	PWAV	_	8	adv	_	-
2	aus	aus	PREP	APPR	Dat	8	objp	_	-
3	dem	die	ART	ART	Def|Masc|Dat|Sg	7	det	_	-
4	am	an	PREP	APPRART	Dat	6	pp	_	-
5	Sonntag	Sonntag	N	NN	_|Dat|Sg	4	pn	_	-
6	veröffentlichten	veröffentlicht	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	7	attr	_	-
7	Geschäftsbericht	Geschäftsbericht	N	NN	Masc|Dat|Sg	2	pn	_	-
8	hervorgeht	hervorgehen	V	VVFIN	_|_|Pres|Ind	10	subjc	_	-
9	,	,	$,	$,	_	0	root	_	-
10	konnte	können	V	VMFIN	_|Sg|Past|Ind	0	root	_	-
11	die	die	ART	ART	Def|Fem|_|Sg	12	det	_	-
12	Reederei	Reederei	N	NN	Fem|_|Sg	10	obja	_	-
13	im	in	PREP	APPRART	Dat	10	pp	_	-
14	Geschätsjahr	Geschätsjahr	N	NN	_|Dat|_	13	pn	_	(0
15	1991	1991	CARD	CARD	_	14	app	_	0)
16	ihren	ihre	ART	PPOSAT	Masc|_|Sg	17	det	_	(0)
17	Konzernumsatz	Konzernumsatz	N	NN	Masc|_|Sg	0	root	_	-
18	erneut	erneut	ADV	ADJD	Pos|	19	adv	_	-
19	leicht	leicht	ADV	ADJD	Pos|	0	root	_	-
20	steigern	steigern	V	VVINF	_	0	root	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Der	die	PRO	PDS	Masc|Nom|Sg	2	subj	_	-
2	belief	belaufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	auf	auf	PREP	APPR	_	2	objp	_	-
5	127,4	127,4	CARD	CARD	_	6	attr	_	-
6	Millionen	Million	N	NN	Fem|_|Pl	4	pn	_	-
7	DM	DM	N	NN	Fem|_|Pl	6	app	_	-
8	gegenüber	gegenüber	PREP	APPR	Dat	7	pp	_	-
9	124	124	CARD	CARD	_	10	attr	_	-
10	Millionen	Million	N	NN	Fem|Dat|Pl	8	pn	_	-
11	DM	DM	N	NN	Fem|Dat|Pl	10	app	_	-
12	im	in	PREP	APPRART	Dat	11	pp	_	-
13	Vorjahr	Vorjahr	N	NN	Neut|Dat|Sg	12	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Während	während	KOUS	KOUS	_	6	konj	_	-
2	das	die	ART	ART	Def|Neut|Nom|Sg	3	det	_	-
3	Schiffahrtsergebnis	Schiffahrtsergebnis	N	NN	Neut|Nom|Sg	6	subj	_	-
4	leicht	leicht	ADV	ADJD	Pos|	5	adv	_	-
5	rückläufig	rückläufig	ADV	ADJD	Pos|	6	pred	_	-
6	war	sein	V	VAFIN	3|Sg|Past|Ind	8	neb	_	-
7	,	,	$,	$,	_	0	root	_	-
8	konnten	können	V	VMFIN	3|Pl|Past|Ind	0	root	_	-
9	die	die	ART	ART	Def|Fem|Nom|Pl	10	det	_	(1
10	Tochtergesellschaften	Tochtergesellschaft	N	NN	Fem|Nom|Pl	8	subj	_	1)
11	ihre	ihre	ART	PPOSAT	Masc|_|Pl	12	det	_	(1)
12	Erträge	Ertrag	N	NN	Masc|_|Pl	13	obja	_	-
13	steigern	steigern	V	VVINF	_	8	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

