1	Daß	daß	KOUS	KOUS	_	10	konj	_	-
2	Schädlinge	Schädling	N	NN	Masc|Nom|Pl	10	subj	_	-
3	selbst	selbst	ADV	ADV	_	10	adv	_	-
4	sich	sie	PRO	PRF	3|_|_	10	obja	_	-
5	am	an	PREP	APPRART	Dat	10	pp	_	-
6	Debakelminimierungsprogramm	Debakelminimierungsprogramm	N	NN	Neut|Dat|Sg	5	pn	_	-
7	bei	bei	PREP	APPR	Dat	10	pp	_	-
8	der	die	ART	ART	Def|Fem|Dat|Sg	9	det	_	-
9	Balkonbegrünung	Balkonbegrünung	N	NN	Fem|Dat|Sg	7	pn	_	-
10	beteiligen	beteiligen	V	VVFIN	3|Pl|Pres|_	16	objc	_	-
11	,	,	$,	$,	_	0	root	_	-
12	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
13	man	man	PRO	PIS	_|Nom|Sg	12	subj	_	-
14	noch	noch	ADV	ADV	_	16	adv	_	-
15	nie	nie	ADV	ADV	_	16	adv	_	-
16	gehört	gehören	V	VVPP	_	12	aux	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Passiert	passieren	V	VVFIN	_|_|Pres|Ind	0	root	_	-
2	aber	aber	ADV	ADV	_	1	adv	_	-
3	gerade	gerade	ADV	ADV	_	1	adv	_	-
4	,	,	$,	$,	_	0	root	_	-
5	und	und	KON	KON	_	3	kon	_	-
6	zwar	zwar	ADV	ADV	_	5	cj	_	-
7	in	in	PREP	APPR	_	1	pp	_	-
8	Köln	Köln	N	NE	Neut|_|Sg	7	pn	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Dort	dort	ADV	ADV	_	2	adv	_	-
2	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	auf	auf	PREP	APPR	Dat	2	pp	_	-
5	dem	die	ART	ART	Def|Masc|Dat|Sg	7	det	_	-
6	untersten	unter	ADJA	ADJA	Sup|Masc|Dat|Sg|Wk|	7	attr	_	-
7	Ast	Ast	N	NN	Masc|Dat|Sg	4	pn	_	-
8	des	die	ART	ART	Def|_|Gen|Sg	0	root	_	-
9	von	von	PREP	APPR	Dat	0	root	_	-
10	persönlichkeitsgestörten	persönlichkeitsgestört	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	11	attr	_	(1
11	Kapuzinerkressesetzlingen	Kapuzinerkressesetzling	N	NN	Masc|Dat|Pl	9	pn	_	1)
12	(	(	$(	$(	_	0	root	_	-
13	halten	halten	V	VVINF	_	0	root	_	-
14	sich	sie	PRO	PRF	3|_|_	0	root	_	-
15	für	für	PREP	APPR	Acc	0	root	_	-
16	Blattläuse	Blattlaus	N	NN	Fem|Acc|Pl	15	pn	_	-
17	)	)	$(	$(	_	0	root	_	-
18	bedrohten	bedroht	ADJA	ADJA	Pos|Masc|Gen|Sg|_|	19	attr	_	(0
19	Holunders	Holunder	N	NN	Masc|Gen|Sg	21	gmod	_	-
20	echte	echt	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	21	attr	_	-
21	Blattläuse	Blattlaus	N	NN	Fem|Nom|Pl	22	subj	_	0)
22	zusammengerottet	zusammenrotten	V	VVPP	_	0	root	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(0)
2	bereiten	bereiten	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	derzeit	derzeit	ADV	ADV	_	2	adv	_	-
5	ganz	ganz	ADV	ADV	_	6	adv	_	-
6	offensichtlich	offensichtlich	ADV	ADJD	Pos|	2	adv	_	-
7	darauf	darauf	PROAV	PROAV	_	2	pp	_	-
8	vor	vor	PTKVZ	PTKVZ	_	2	avz	_	-
9	auszuschwärmen	ausschwärmen	V	VVIZU	_	2	obji	_	-
10	,	,	$,	$,	_	0	root	_	-
11	um	um	KOUI	KOUI	_	19	konj	_	-
12	die	die	ART	ART	Def|Masc|_|Pl	13	det	_	(1
13	Kapuzinerkressesetzlinge	Kapuzinerkressesetzling	N	NN	Masc|_|Pl	19	obja	_	1)
14	final	final	ADV	ADJD	Pos|	19	adv	_	-
15	von	von	PREP	APPR	_	19	pp	_	-
16	ihrer	ihre	ART	PPOSAT	Fem|_|Sg	17	det	_	(0)
17	Persönlichkeitsspaltung	Persönlichkeitsspaltung	N	NN	Fem|_|Sg	15	pn	_	-
18	zu	zu	PTKZU	PTKZU	_	19	part	_	-
19	befreien	befreien	V	VVINF	_	9	neb	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Halten	halten	V	VVFIN	3|Pl|Pres|_	0	root	_	-
2	sich	sie	PRO	PRF	3|_|_	1	obja	_	-
3	die	die	ART	ART	Def|Fem|Nom|Pl	5	det	_	-
4	Kölner	Kölner	ADJA	ADJA	Pos|Fem|Nom|Pl|_|	5	attr	_	-
5	Blattläuse	Blattlaus	N	NN	Fem|Nom|Pl	1	subj	_	-
6	ihrerseits	ihrerseits	ADV	ADV	_	1	adv	_	-
7	jetzt	jetzt	ADV	ADV	_	1	adv	_	-
8	vielleicht	vielleicht	ADV	ADV	_	1	adv	_	-
9	für	für	PREP	APPR	Acc	1	objp	_	-
10	Chemie	Chemie	N	NN	Fem|Acc|Sg	9	pn	_	-
11	?	?	$.	$.	_	0	root	_	-

