1	Als	Als	KOKOM	KOKOM	_	17	kom	_	-
2	Zeichen	Zeichen	N	NN	Neut|_|_	1	cj	_	-
3	gegen	gegen	PREP	APPR	Acc	2	pp	_	-
4	Rassismus	Rassismus	N	NN	Masc|Acc|Sg	3	pn	_	-
5	und	und	KON	KON	_	4	kon	_	-
6	Fremdenhaß	Fremdenhaß	N	NN	Masc|Acc|Sg	5	cj	_	-
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
8	der	die	ART	ART	Def|Masc|Nom|Sg	10	det	_	-
9	Türkische	türkisch	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	10	attr	_	-
10	Bund	Bund	N	NN	Masc|Nom|Sg	7	subj	_	-
11	in	in	PREP	APPR	_	17	pp	_	-
12	Berlin-Brandenburg	Berlin-Brandenburg	N	NE	_|_|Sg	11	pn	_	-
13	das	die	ART	ART	Def|Neut|_|Sg	14	det	_	-
14	Urteil	Urteil	N	NN	Neut|_|Sg	17	obja	_	-
15	im	in	PREP	APPRART	Dat	17	pp	_	-
16	Solingen-Prozeß	Solingen-Prozeß	N	NN	Masc|Dat|Sg	15	pn	_	-
17	bezeichnet	bezeichnen	V	VVPP	_	7	aux	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Das	die	ART	ART	Def|Neut|Nom|Sg	2	det	_	-
2	Gericht	Gericht	N	NN	Neut|Nom|Sg	3	subj	_	-
3	habe	haben	V	VAFIN	3|Sg|Pres|Subj	9	s	_	-
4	ein	eine	ART	ART	Indef|Neut|_|Sg	6	det	_	-
5	wichtiges	wichtig	ADJA	ADJA	Pos|Neut|_|Sg|St|	6	attr	_	-
6	Zeichen	Zeichen	N	NN	Neut|_|Sg	7	obja	_	-
7	gesetzt	setzen	V	VVPP	_	3	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	-
10	der	die	ART	ART	Def|Masc|Nom|Sg	11	det	_	-
11	Verein	Verein	N	NN	Masc|Nom|Sg	9	subj	_	-
12	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Das	die	ART	ART	Def|Neut|Nom|Sg	3	det	_	-
3	Vertrauen	Vertrauen	N	NN	Neut|Nom|Sg	8	subj	_	-
4	in	in	PREP	APPR	Acc	3	pp	_	-
5	die	die	ART	ART	Def|Fem|Acc|Sg	7	det	_	-
6	deutsche	deutsch	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	7	attr	_	-
7	Justiz	Justiz	N	NN	Fem|Acc|Sg	4	pn	_	-
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
9	wiederhergestellt	wiederherstellen	V	VVPP	_	10	aux	_	-
10	worden	werden	V	VAPP	_	8	aux	_	-
11	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Im	in	PREP	APPRART	Dat	9	pp	_	-
3	Prozeß	Prozeß	N	NN	Masc|Dat|Sg	2	pn	_	-
4	um	um	PREP	APPR	Acc	3	pp	_	-
5	den	die	ART	ART	Def|Masc|Acc|Sg	6	det	_	-
6	Brandanschlag	Brandanschlag	N	NN	Masc|Acc|Sg	4	pn	_	-
7	von	von	PREP	APPR	Dat	6	pp	_	-
8	Solingen	Solingen	N	NE	Neut|Dat|Sg	7	pn	_	-
9	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
10	das	die	ART	ART	Def|Neut|Nom|Sg	11	det	_	-
11	Oberlandesgericht	Oberlandesgericht	N	NN	Neut|Nom|Sg	9	subj	_	-
12	Düsseldorf	Düsseldorf	N	NE	Neut|Nom|Sg	11	app	_	-
13	für	für	PREP	APPR	Acc	11	pp	_	-
14	alle	alle	ART	PIDAT	_|Acc|Pl	16	det	_	-
15	vier	vier	CARD	CARD	_	16	attr	_	-
16	Angeklagten	Angeklagte	N	NN	_|Acc|Pl	13	pn	_	-
17	langjährige	langjährig	ADJA	ADJA	Pos|_|_|_|_|	18	attr	_	-
18	Haftstrafen	Haftstrafe	N	NN	_|_|_	19	obja	_	-
19	verhängt	verhängen	V	VVPP	_	9	aux	_	-
20	.	.	$.	$.	_	0	root	_	-

