1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	von	von	PREP	APPR	_	8	pp	_	-
4	der	die	ART	ART	Def|_|_|_	5	det	_	-
5	Spitze	Spitz	N	NN	_|_|_	3	pn	_	-
6	des	die	ART	ART	Def|Neut|Gen|Sg	7	det	_	-
7	Hauses	Haus	N	NN	Neut|Gen|Sg	5	gmod	_	-
8	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
9	sich	sie	PRO	PRF	3|_|_	14	obja	_	-
10	heute	heute	ADV	ADV	_	14	adv	_	-
11	lieber	lieb	ADV	ADJD	Comp|	12	attr	_	-
12	keiner	keine	PRO	PIS	Masc|Nom|Sg	8	subj	_	-
13	mehr	mehr	ADV	ADV	_	12	adv	_	-
14	äußern	äußern	V	VVINF	_	8	aux	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Immerhin	immerhin	ADV	ADV	_	2	adv	_	-
2	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
4	,	,	$,	$,	_	0	root	_	-
5	eine	eine	ART	ART	Indef|Fem|_|Sg	8	det	_	-
6	ziemlich	ziemlich	ADV	ADJD	_	7	adv	_	-
7	plötzliche	plötzlich	ADJA	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	-
8	Kehrtwendung	Kehrtwendung	N	NN	Fem|_|Sg	12	obja	_	-
9	des	die	ART	ART	Def|Masc|Gen|Sg	10	det	_	-
10	Ministers	Minister	N	NN	Masc|Gen|Sg	8	gmod	_	-
11	zu	zu	PTKZU	PTKZU	_	12	part	_	-
12	erklären	erklären	V	VVINF	_	2	obji	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	4	pp	_	-
2	vergangenen	vergangen	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	3	attr	_	-
3	Donnerstag	Donnerstag	N	NN	_|Dat|Sg	1	pn	_	-
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
5	Bundesinnenminister	Bundesinnenminister	N	NN	Masc|Nom|Sg	4	subj	_	(0
6	Otto	Otto	N	NE	Masc|Nom|Sg	5	app	_	-
7	Schily	Schily	N	NE	Masc|Nom|Sg	6	app	_	0)
8	(	(	$(	$(	_	0	root	_	-
9	SPD	SPD	N	NE	Masc|Nom|Sg	7	app	_	-
10	)	)	$(	$(	_	0	root	_	-
11	noch	noch	ADV	ADV	_	12	adv	_	-
12	verkündet	verkünden	V	VVPP	_	4	aux	_	-
13	,	,	$,	$,	_	0	root	_	-
14	es	es	PRO	PPER	3|Sg|Neut|Nom	15	subj	_	-
15	sei	sein	V	VAFIN	3|Sg|Pres|Subj	12	s	_	-
16	"	"	$(	$(	_	0	root	_	-
17	politisch	politisch	ADV	ADJD	Pos|	18	adv	_	-
18	grundfalsch	grundfalsch	ADV	ADJD	Pos|	15	pred	_	-
19	"	"	$(	$(	_	0	root	_	-
20	und	und	KON	KON	_	0	root	_	-
21	"	"	$(	$(	_	0	root	_	-
22	kein	keine	ART	PIAT	Masc|Nom|Sg	23	det	_	-
23	Ausweis	Ausweis	N	NN	Masc|Nom|Sg	20	cj	_	-
24	besonderer	besonderer	ADJA	ADJA	_|Fem|Gen|Sg|_	26	attr	_	-
25	humanitärer	humanitär	ADJA	ADJA	Pos|Fem|Gen|Sg|St|	26	attr	_	-
26	Gesinnung	Gesinnung	N	NN	Fem|Gen|Sg	23	gmod	_	-
27	"	"	$(	$(	_	0	root	_	-
28	,	,	$,	$,	_	0	root	_	-
29	jetzt	jetzt	ADV	ADV	_	30	adv	_	(4
30	weitere	weit	ADJA	ADJA	Comp|Masc|_|Pl|St|	31	attr	_	-
31	Flüchtlinge	Flüchtling	N	NN	Masc|_|Pl	37	obja	_	-
32	aus	aus	PREP	APPR	Dat	31	pp	_	-
33	dem	die	ART	ART	Def|_|Dat|Sg	34	det	_	-
34	Kosovo	Kosovo	N	NE	_|Dat|Sg	32	pn	_	4)
35	in	in	PREP	APPR	_	37	pp	_	-
36	Deutschland	Deutschland	N	NE	Neut|_|Sg	35	pn	_	(1)
37	aufzunehmen	aufnehmen	V	VVIZU	_	23	obji	_	-
38	.	.	$.	$.	_	0	root	_	-

1	10.000	10.000	CARD	CARD	_	2	attr	_	-
2	Kosovo-Albaner	Kosovo-Albaner	N	NN	_|_|Pl	16	obja	_	-
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	-
5	Regierung	Regierung	N	NN	Fem|Nom|Sg	3	subj	_	-
6	bis	bis	PREP	APPR	Acc	16	pp	_	-
7	dahin	dahin	ADV	ADV	_	6	adv	_	-
8	mit	mit	PREP	APPR	Dat	16	pp	_	-
9	einer	eine	ART	ART	Indef|Fem|Dat|Sg	12	det	_	-
10	gut	gut	ADV	ADJD	Pos|	11	adv	_	-
11	organisierten	organisiert	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	12	attr	_	-
12	Luftbrücke	Luftbrücke	N	NN	Fem|Dat|Sg	8	pn	_	-
13	in	in	PREP	APPR	Acc	16	pp	_	-
14	die	die	ART	ART	Def|Fem|Acc|Sg	15	det	_	-
15	Bundesrepublik	Bundesrepublik	N	NN	Fem|Acc|Sg	13	pn	_	-
16	geholt	holen	V	VVPP	_	3	aux	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Eine	eine	ART	ART	Indef|Fem|_|Sg	2	det	_	-
2	Aufstockung	Aufstockung	N	NN	Neut|Nom|Sg	7	subj	_	-
3	dieses	diese	ART	PDAT	Neut|Nom|Sg	5	det	_	-
4	"	"	$(	$(	_	0	root	_	-
5	Kontingents	Kontingents	N	NE	Neut|Nom|Sg	2	app	_	-
6	"	"	$(	$(	_	0	root	_	-
7	lehnte	lehnen	V	VVFIN	3|Sg|Past|_	0	root	_	-
8	Schily	Schily	N	NE	_	7	obja	_	(0)
9	ab	ab	PTKVZ	PTKVZ	_	7	avz	_	-
10	-	-	$(	$(	_	0	root	_	-
11	"	"	$(	$(	_	0	root	_	-
12	entschieden	entscheiden	V	VVPP	_	0	root	_	-
13	"	"	$(	$(	_	0	root	_	-
14	,	,	$,	$,	_	0	root	_	-
15	wie	wie	PWAV	PWAV	_	22	pred	_	-
16	es	es	PRO	PPER	3|Sg|Neut|Nom	22	subj	_	-
17	letzte	letzte	ADJA	ADJA	Pos|Fem|_|Sg|_|	18	attr	_	-
18	Woche	Woche	N	NN	Fem|_|Sg	22	zeit	_	-
19	aus	aus	PREP	APPR	Dat	22	pp	_	-
20	seinem	seine	ART	PPOSAT	Neut|Dat|Sg	21	det	_	(0)
21	Hause	Haus	N	NN	Neut|Dat|Sg	19	pn	_	-
22	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
23	.	.	$.	$.	_	0	root	_	-

