1	Am	Am	PTKA	PTKA	_	2	adv	_	-
2	ehesten	ehesten	ADV	ADJD	_	0	root	_	-
3	noch	noch	ADV	ADV	_	2	adv	_	-
4	,	,	$,	$,	_	0	root	_	-
5	wenn	wenn	KOUS	KOUS	_	0	root	_	-
6	man	man	PRO	PIS	_|Nom|Sg	0	root	_	-
7	halb	halb	ADV	ADJD	Pos|	8	adv	_	-
8	hoch	hoch	ADV	ADJD	Pos|	0	root	_	-
9	und	und	KON	KON	_	0	root	_	-
10	gefedert	gefedert	N	NE	_|Nom|Sg	11	subj	_	-
11	sitzt	sitzen	V	VVFIN	3|Sg|Pres|Ind	9	cj	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Doch	doch	KON	KON	_	0	root	_	-
2	dann	dann	ADV	ADV	_	3	adv	_	-
3	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	-
4	das	die	ART	ART	Def|Neut|Nom|Sg	5	det	_	-
5	Fahrzeug	Fahrzeug	N	NN	Neut|Nom|Sg	3	subj	_	-
6	vielleicht	vielleicht	ADV	ADV	_	3	adv	_	-
7	nicht	nicht	PTKNEG	PTKNEG	_	9	adv	_	-
8	mehr	mehr	ADV	ADV	_	7	adv	_	-
9	Liege-	Liege-	TRUNC	TRUNC	_	3	adv	_	-
10	,	,	$,	$,	_	0	root	_	-
11	sondern	sondern	KON	KON	_	9	kon	_	-
12	womöglich	womöglich	ADV	ADV	_	11	cj	_	-
13	Sesselrad	Sesselrad	N	NN	Neut|Nom|Sg	3	pred	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Bekenntnis	Bekenntnis	N	NN	Neut|_|Sg	0	root	_	-
2	eines	eine	ART	ART	Indef|_|Gen|Sg	4	det	_	-
3	Bekehrten	bekehrt	ADJA	ADJA	Pos|_|Gen|Sg|_|	4	attr	_	-
4	Von	Von	N	NN	_|Gen|Sg	1	gmod	_	-
5	Wolfgang	Wolfgang	N	NE	Fem|Gen|Sg	4	app	_	-
6	A.	A.	N	NE	Fem|Gen|Sg	5	app	_	-
7	Leidigkeit	Leidigkeit	N	NN	Fem|Gen|Sg	6	app	_	-
8	Keine	keine	ART	PIAT	Fem|_|Sg	9	det	_	-
9	Frage	Frage	N	NN	Fem|_|Sg	0	root	_	-
10	,	,	$,	$,	_	0	root	_	-
11	das	die	ART	ART	Def|Neut|Nom|Sg	12	det	_	-
12	Liegefahrrad	Liegefahrrad	N	NN	Neut|Nom|Sg	13	subj	_	-
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
14	eine	eine	ART	ART	Indef|Fem|Nom|Sg	15	det	_	-
15	Herausforderung	Herausforderung	N	NN	Fem|Nom|Sg	13	pred	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	spaltet	spalten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|_|Sg	4	det	_	-
4	Menschheit	Menschheit	N	NN	Fem|_|Sg	2	obja	_	-
5	.	.	$.	$.	_	0	root	_	-

1	Herausgefordert	herausgefordert	ADV	ADJD	Pos|	2	pred	_	-
2	fühlte	fühlen	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	anscheinend	anscheinen	ADV	ADJD	_|<PPRES	2	adv	_	-
5	auch	auch	ADV	ADV	_	2	adv	_	-
6	ein	eine	ART	ART	Indef|_|Nom|Sg	7	det	_	(0
7	Journalist	Journalist	N	NN	Masc|Nom|Sg	2	subj	_	-
8	der	die	ART	ART	Def|Fem|Gen|Sg	10	det	_	-
9	Süddeutschen	süddeutsch	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	10	attr	_	-
10	Zeitung	Zeitung	N	NN	Fem|Gen|Sg	7	gmod	_	-
11	,	,	$,	$,	_	0	root	_	-
12	der	die	PRO	PRELS	Masc|Nom|Sg	28	subj	_	(0)
13	das	die	ART	ART	Def|Neut|_|Sg	14	det	_	-
14	Liegerad	Liegerad	N	NN	Neut|_|Sg	28	obja	_	-
15	an	an	PREP	APPR	_	14	pp	_	-
16	sich	sie	PRO	PRF	3|_|_	15	pn	_	-
17	vor	vor	PREP	APPR	Dat	28	pp	_	-
18	einiger	einige	ART	PIAT	Fem|Dat|Sg	19	det	_	-
19	Zeit	Zeit	N	NN	Fem|Dat|Sg	17	pn	_	-
20	als	als	KOKOM	KOKOM	_	28	kom	_	-
21	das	die	ART	ART	Def|Neut|_|Sg	24	det	_	-
22	"	"	$(	$(	_	0	root	_	-
23	tiefergelegte	tiefergelegt	ADJA	ADJA	Pos|Neut|_|Sg|Wk|	24	attr	_	-
24	Statussymbol	Statussymbol	N	NN	Neut|_|Sg	20	cj	_	-
25	des	die	ART	ART	Def|_|Gen|Sg	26	det	_	-
26	Hardcore-Müsli	Hardcore-Müsli	N	NN	_|Gen|Sg	24	gmod	_	-
27	"	"	$(	$(	_	0	root	_	-
28	bezeichnete	bezeichnen	V	VVFIN	3|Sg|Past|_	7	rel	_	0)
29	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Fahrradfahren	Fahrradfahren	N	NN	Neut|Nom|Sg	6	subj	_	-
3	auf	auf	PREP	APPR	_	2	pp	_	-
4	Wolken	Wolke	N	NN	Fem|_|Pl	3	pn	_	-
5	"	"	$(	$(	_	0	root	_	-
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
7	an	an	PREP	APPR	_	11	pp	_	-
8	anderer	anderer	ADJA	ADJA	_|Fem|_|Sg|_	9	attr	_	-
9	Stelle	Stelle	N	NN	Fem|_|Sg	7	pn	_	-
10	zu	zu	PTKZU	PTKZU	_	11	part	_	-
11	lesen	lesen	V	VVINF	_	6	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Pl	2	det	_	-
2	Positionen	Position	N	NN	Fem|Nom|Pl	3	subj	_	-
3	könnten	können	V	VMFIN	3|Pl|Past|Subj	0	root	_	-
4	unterschiedlicher	unterschiedlich	ADV	ADJD	Comp|	6	adv	_	-
5	nicht	nicht	PTKNEG	PTKNEG	_	6	adv	_	-
6	sein	sein	V	VAINF	_	3	aux	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Langlieger	Langlieger	N	NN	Masc|_|_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	Kurzlieger	Kurzlieger	N	NN	Masc|_|_	1	kon	_	-
4	,	,	$,	$,	_	0	root	_	-
5	Rennlieger	Rennlieger	N	NN	Masc|_|_	3	kon	_	-
6	,	,	$,	$,	_	0	root	_	-
7	Trikes	Trikes	N	NE	Masc|_|_	5	kon	_	-
8	,	,	$,	$,	_	0	root	_	-
9	Obenlenker	Obenlenker	N	NN	Masc|_|_	7	kon	_	-
10	,	,	$,	$,	_	0	root	_	-
11	Untenlenker	Untenlenker	N	NN	Masc|_|_	9	kon	_	-
12	.	.	$.	$.	_	0	root	_	-

