1	Wie	Wie	PWAV	PWAV	_	6	adv	_	-
2	meist	meist	ADV	ADV	_	6	adv	_	-
3	nach	nach	PREP	APPR	Dat	6	pp	_	-
4	einem	eine	ART	ART	Indef|Masc|Dat|Sg	5	det	_	-
5	Kurssturz	Kurssturz	N	NN	Masc|Dat|Sg	3	pn	_	-
6	zittern	zittern	V	VVFIN	3|Pl|Pres|_	0	root	_	-
7	die	die	ART	ART	Def|Fem|Nom|Pl	8	det	_	(0
8	Börsen	Börse	N	NN	Fem|Nom|Pl	6	subj	_	0)
9	noch	noch	ADV	ADV	_	6	adv	_	-
10	einige	einige	ART	PIAT	Masc|_|Pl	11	det	_	-
11	Tage	Tag	N	NN	Masc|_|Pl	6	obja	_	-
12	nach	nach	PTKVZ	PTKVZ	_	6	avz	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Gestern	gestern	ADV	ADV	_	2	adv	_	-
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
4	überall	überall	ADV	ADV	_	2	adv	_	-
5	bergauf	bergauf	PTKVZ	PTKVZ	_	2	avz	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Kleinanleger	Kleinanleger	N	NN	Masc|Nom|Pl	2	subj	_	(8)
2	sollen	sollen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
3	aber	aber	ADV	ADV	_	5	adv	_	-
4	noch	noch	ADV	ADV	_	5	adv	_	-
5	warten	warten	V	VVINF	_	2	aux	_	-
6	,	,	$,	$,	_	0	root	_	-
7	bevor	bevor	KOUS	KOUS	_	9	konj	_	-
8	sie	sie	PRO	PPER	3|Pl|_|Nom	9	subj	_	(0)
9	einsteigen	einsteigen	V	VVFIN	3|Pl|Pres|_	2	neb	_	-
10	Von	von	PREP	APPR	_	9	pp	_	-
11	Reiner	Reiner	N	NE	_|_|_	10	pn	_	-
12	Metzger	Metzger	N	NE	_|_|_	11	app	_	-
13	Berlin	Berlin	N	NE	_|_|_	12	app	_	-
14	(	(	$(	$(	_	0	root	_	-
15	taz	taz	N	NE	_|_|_	13	app	_	-
16	/	/	$(	$(	_	0	root	_	-
17	rtr	rtr	N	NE	_|_|_	15	kon	_	-
18	)	)	$(	$(	_	0	root	_	-
19	-	-	$(	$(	_	0	root	_	-
20	An	an	PREP	APPR	Dat	23	pp	_	-
21	den	die	ART	ART	Def|Fem|Dat|Pl	22	det	_	(0
22	Börsen	Börse	N	NN	Fem|Dat|Pl	20	pn	_	0)
23	jagen	jagen	V	VVFIN	3|Pl|Pres|_	2	kon	_	-
24	sich	sie	PRO	PRF	3|_|_	23	obja	_	-
25	weiter	weiter	ADV	ADV	_	23	adv	_	-
26	die	die	ART	ART	Def|Masc|Nom|Pl	27	det	_	-
27	Rekorde	Rekord	N	NN	Masc|Nom|Pl	23	subj	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Nach	nach	PREP	APPR	Dat	9	pp	_	-
2	einem	eine	ART	ART	Indef|Masc|Dat|Sg	4	det	_	-
3	spitzenmäßigen	spitzenmäßig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	_	-
4	Absturz	Absturz	N	NN	Masc|Dat|Sg	1	pn	_	-
5	der	die	ART	ART	Def|_|Gen|_	6	det	_	-
6	Wall	Wall	FM	FM	_|Gen|_	4	gmod	_	-
7	Street	Street	FM	FM	_|Gen|_	6	app	_	-
8	vorgestern	vorgestern	ADV	ADV	_	4	adv	_	-
9	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
10	es	es	PRO	PPER	3|Sg|Neut|Nom	9	subj	_	-
11	gestern	gestern	ADV	ADV	_	9	adv	_	-
12	rekordmäßig	rekordmäßig	ADV	ADJD	Pos|	9	adv	_	-
13	nach	nach	PREP	APPR	Dat	9	pp	_	-
14	oben	oben	ADV	ADV	_	13	adv	_	-
15	-	-	$(	$(	_	0	root	_	-
16	und	und	KON	KON	_	14	kon	_	-
17	zwar	zwar	ADV	ADV	_	18	adv	_	-
18	weltweit	weltweit	ADV	ADJD	Pos|	16	cj	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Masc|Nom|Pl	2	det	_	(2
2	Kurse	Kurs	N	NN	Masc|Nom|Pl	3	subj	_	2)
