1	Wie	Wie	PWAV	PWAV	_	4	adv	_	-
2	Veranstaltungskonzepte	Veranstaltungskonzept	N	NN	Neut|Nom|Pl	5	subj	_	-
3	professionell	professionell	ADV	ADJD	Pos|	4	adv	_	-
4	entwickelt	entwickeln	V	VVPP	_	5	aux	_	-
5	werden	werden	V	VAFIN	3|Pl|Pres|_	25	objc	_	-
6	,	,	$,	$,	_	0	root	_	-
7	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
8	ein	eine	ART	ART	Indef|Neut|Nom|Sg	9	det	_	-
9	Seminar	Seminar	N	NN	Neut|Nom|Sg	7	subj	_	-
10	des	die	ART	ART	Def|_|Gen|Sg	13	det	_	-
11	netzwerks	netzwerks	ADJA	ADJA	_|_|Gen|Sg|_	13	attr	_	-
12	kulturelle	kulturell	ADJA	ADJA	Pos|_|_|_|_|	13	attr	_	-
13	bildung	bildung	N	NN	_|Gen|Sg	9	gmod	_	-
14	am	an	PREP	APPRART	Dat	25	pp	_	-
15	17.	17.	ADJA	ADJA	_|Masc|Dat|Sg|_|	18	attr	_	-
16	und	und	KON	KON	_	15	kon	_	-
17	18.	18.	ADJA	ADJA	_|_|Dat|_|_|	16	cj	_	-
18	Mai	Mai	N	NN	Masc|Dat|Sg	14	pn	_	-
19	jeweils	jeweils	ADV	ADV	_	20	adv	_	-
20	von	von	PREP	APPR	_	18	pp	_	-
21	10	10	CARD	CARD	_	24	attr	_	-
22	-	-	$(	$(	_	0	root	_	-
23	17	17	CARD	CARD	_	21	kon	_	-
24	Uhr	Uhr	N	NN	Fem|_|Sg	20	pn	_	-
25	vermitteln	vermitteln	V	VVINF	_	7	aux	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Fortbildung	Fortbildung	N	NN	Fem|Nom|Sg	3	subj	_	-
3	findet	finden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	in	in	PREP	APPR	Dat	3	pp	_	-
5	der	die	ART	ART	Def|Fem|Dat|Sg	6	det	_	-
6	Volkshochschule	Volkshochschule	N	NN	Fem|Dat|Sg	4	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	Schanzenstraße	Schanzenstraße	N	NE	Fem|Dat|Sg	6	app	_	-
9	75	75	CARD	CARD	_	8	app	_	-
10	,	,	$,	$,	_	0	root	_	-
11	statt	statt	KOUI	KOUI	_	0	root	_	-
12	und	und	KON	KON	_	0	root	_	-
13	kostet	kosen	V	VVFIN	_|_|_|_	12	cj	_	-
14	160	160	CARD	CARD	_	13	obja	_	-
15	,	,	$,	$,	_	0	root	_	-
16	ermäßigt	ermäßigen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
17	80	80	CARD	CARD	_	18	attr	_	-
18	Mark	Mark	N	NN	_|_|Pl	16	obja	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Schriftliche	schriftlich	ADJA	ADJA	Pos|Fem|_|Pl|St|	2	attr	_	-
2	Anmeldungen	Anmeldung	N	NN	Fem|_|Pl	0	root	_	-
3	an	an	PREP	APPR	Acc	2	pp	_	-
4	das	die	ART	ART	Def|Neut|Acc|Sg	7	det	_	-
5	netzwerk	netzwerk	ADJA	ADJA	_|Neut|Acc|Sg|_	7	attr	_	-
6	kulturelle	kulturell	ADJA	ADJA	Pos|Neut|Acc|Sg|Wk|	7	attr	_	-
7	bildung	bildung	N	NN	Neut|Acc|Sg	3	pn	_	-
8	,	,	$,	$,	_	0	root	_	-
9	c	c	N	NN	Neut|Acc|Sg	7	kon	_	-
10	/	/	$(	$(	_	0	root	_	-
11	o	o	FM	FM	Masc|Acc|Sg	9	kon	_	-
12	Goldbekhaus	Goldbekhaus	FM	FM	Masc|Acc|Sg	11	app	_	-
13	,	,	$,	$,	_	0	root	_	-
14	Moorfuhrtweg	Moorfuhrtweg	N	NN	Masc|Acc|Sg	12	app	_	-
15	9	9	CARD	CARD	_	14	app	_	-
16	,	,	$,	$,	_	0	root	_	-
17	22301	22301	CARD	CARD	_	2	app	_	-
18	Hamburg	Hamburg	N	NE	_|_|Sg	0	root	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Tel	Tel	N	NE	_	0	root	_	(0)
2	.	.	$.	$.	_	0	root	_	-

1	:	\:	$.	$.	_	0	root	_	-
2	27	27	CARD	CARD	_	0	root	_	-
3	87	87	CARD	CARD	_	0	root	_	-
4	02	02	CARD	CARD	_	0	root	_	-
5	12	12	CARD	CARD	_	0	root	_	-
6	Fax	Fax	N	NN	Neut|_|Sg	0	root	_	(1)
7	:	\:	$.	$.	_	0	root	_	-
8	27	27	CARD	CARD	_	11	attr	_	-
9	87	87	CARD	CARD	_	11	attr	_	-
10	02	02	CARD	CARD	_	11	attr	_	-
11	20	20	CARD	CARD	_|_|Pl	0	root	_	-
12	Ein	ein	ART	ART	Indef|Neut|Nom|Sg	13	det	_	-
13	Wochenendseminar	Wochenendseminar	N	NN	Neut|Nom|_	28	subj	_	-
14	zum	zu	PREP	APPRART	Dat	13	pp	_	-
15	Thema	Thema	N	NN	Neut|Dat|Sg	14	pn	_	-
16	"	"	$(	$(	_	0	root	_	-
17	Leben	Leben	N	NN	Neut|Nom|_	13	app	_	-
18	nach	nach	PREP	APPR	Dat	17	pp	_	-
19	dem	die	ART	ART	Def|Masc|Dat|Sg	20	det	_	-
20	Untergang	Untergang	N	NN	Masc|Dat|Sg	18	pn	_	-
21	,	,	$,	$,	_	0	root	_	-
22	Jüdisches	jüdisch	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	23	attr	_	-
23	Leben	Leben	N	NN	Neut|Nom|Sg	17	kon	_	-
24	in	in	PREP	APPR	_	23	pp	_	-
25	Deutschland	Deutschland	N	NE	Neut|_|Sg	24	pn	_	-
26	heute	heute	ADV	ADV	_	24	adv	_	-
27	"	"	$(	$(	_	0	root	_	-
28	bietet	bieten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
29	die	die	ART	ART	Def|Fem|_|Sg	31	det	_	-
30	Hamburger	Hamburger	ADJA	ADJA	Pos|Fem|_|Sg|_|	31	attr	_	-
31	Volkshochschule	Volkshochschule	N	NN	Fem|_|Sg	28	obja	_	-
32	am	an	PREP	APPRART	Dat	28	pp	_	-
33	8.	8.	ADJA	ADJA	_|_|Dat|_|_|	32	pn	_	-
34	und	und	KON	KON	_	0	root	_	-
35	9	9	CARD	CARD	_	34	cj	_	-
36	Mai	Mai	N	NN	Masc|_|Sg	0	root	_	-
37	,	,	$,	$,	_	0	root	_	-
38	jeweils	jeweils	ADV	ADV	_	39	adv	_	-
