1	Als	Als	KOKOM	KOKOM	_	29	kom	_	-
2	erster	erst	ADJA	ADJA	_|Masc|_|_|St|	3	attr	_	-
3	Vertreter	Vertreter	N	NN	Masc|_|_	1	cj	_	-
4	der	die	ART	ART	Def|Fem|Gen|Sg	5	det	_	-
5	Landesregierung	Landesregierung	N	NN	Fem|Gen|Sg	3	gmod	_	-
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	Stadtentwicklungssenator	Stadtentwicklungssenator	N	NN	Masc|Nom|Sg	6	subj	_	(0
8	Peter	Peter	N	NE	Masc|Nom|Sg	7	app	_	-
9	Strieder	Strieder	N	NE	Masc|Nom|Sg	8	app	_	0)
10	(	(	$(	$(	_	0	root	_	-
11	SPD	SPD	N	NE	Masc|Nom|Sg	9	app	_	-
12	)	)	$(	$(	_	0	root	_	-
13	ein	eine	ART	ART	Indef|Neut|_|Sg	16	det	_	-
14	stärkeres	stark	ADJA	ADJA	Comp|Neut|_|Sg|St|	16	attr	_	-
15	finanzielles	finanziell	ADJA	ADJA	Pos|Neut|_|Sg|St|	16	attr	_	-
16	Engagement	Engagement	N	NN	Neut|_|Sg	29	obja	_	-
17	des	die	ART	ART	Def|Neut|Gen|Sg	18	det	_	-
18	Landes	Land	N	NN	Neut|Gen|Sg	16	gmod	_	-
19	bei	bei	PREP	APPR	Dat	29	pp	_	-
20	der	die	ART	ART	Def|Fem|Dat|Sg	22	det	_	(3
21	geplanten	geplant	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	-
22	Sanierung	Sanierung	N	NN	Fem|Dat|Sg	19	pn	_	3)
23	und	und	KON	KON	_	22	kon	_	-
24	Modernisierung	Modernisierung	N	NN	Fem|Dat|Sg	23	cj	_	(4)
25	des	die	ART	ART	Def|Neut|Gen|Sg	26	det	_	(5
26	Olympiastadions	Olympiastadion	N	NN	Neut|Gen|Sg	22	gmod	_	5)
27	in	in	PREP	APPR	_	29	objp	_	-
28	Aussicht	Aussicht	N	NN	Fem|_|Sg	27	pn	_	-
29	gestellt	stellen	V	VVPP	_	6	aux	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Gegenüber	gegenüber	PREP	APPR	Dat	6	pp	_	-
2	dem	die	ART	ART	Def|Masc|Dat|Sg	3	det	_	(2
3	Fernsehsender	Fernsehsender	N	NN	Masc|Dat|Sg	1	pn	_	-
4	TV	TV	FM	FM	Masc|Dat|Sg	3	app	_	-
5	Berlin	Berlin	N	NE	_|Dat|Sg	4	app	_	2)
6	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	-
7	er	er	PRO	PPER	3|Sg|Masc|Nom	6	subj	_	(0)
8	:	\:	$.	$.	_	0	root	_	-
9	"	"	$(	$(	_	0	root	_	-
10	Eins	eins	CARD	CARD	_	11	objd	_	-
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
12	doch	doch	ADV	ADV	_	11	adv	_	-
13	klar	klar	ADV	ADJD	Pos|	11	pred	_	-
14	:	\:	$.	$.	_	0	root	_	-
15	Wenn	wenn	KOUS	KOUS	_	20	konj	_	-
16	es	es	PRO	PPER	3|Sg|Neut|_	20	expl	_	-
17	sich	sie	PRO	PRF	3|_|_	19	obja	_	-
18	nicht	nicht	PTKNEG	PTKNEG	_	19	adv	_	-
19	realisieren	realisieren	V	VVINF	_	20	obji	_	-
20	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	42	neb	_	-
21	,	,	$,	$,	_	0	root	_	-
22	mit	mit	PREP	APPR	Dat	20	pp	_	-
23	der	die	ART	ART	Def|Fem|Dat|Sg	24	det	_	(1
24	Summe	Summe	N	NN	Fem|Dat|Sg	22	pn	_	-
25	,	,	$,	$,	_	0	root	_	-
26	die	die	PRO	PRELS	Fem|Nom|Sg	34	subj	_	(1)
27	das	die	ART	ART	Def|Neut|_|Sg	28	det	_	-
28	Land	Land	N	NN	Neut|_|Sg	33	obja	_	-
29	Berlin	Berlin	N	NE	_|_|Sg	28	app	_	-
30	bisher	bisher	ADV	ADV	_	33	adv	_	-
31	zur	zu	PREP	APPRART	Dat	33	pp	_	-
32	Verfügung	Verfügung	N	NN	Fem|Dat|Sg	31	pn	_	(6)
33	stellen	stellen	V	VVINF	_	34	aux	_	-
34	will	wollen	V	VMFIN	3|Sg|Pres|Ind	24	rel	_	1)
35	,	,	$,	$,	_	0	root	_	-
36	nämlich	nämlich	ADV	ADV	_	20	adv	_	-
37	100	100	CARD	CARD	_	38	attr	_	-
38	Millionen	Million	N	NN	Fem|_|Pl	20	obja	_	-
39	Mark	Mark	N	NN	_|Nom|Sg	20	subj	_	-
40	,	,	$,	$,	_	0	root	_	-
41	dann	dann	ADV	ADV	_	42	adv	_	-
42	muß	müssen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	-
43	eben	eben	ADV	ADV	_	44	adv	_	-
44	aufgestockt	aufstocken	V	VVPP	_	45	aux	_	-
45	werden	werden	V	VAINF	_	42	aux	_	-
46	.	.	$.	$.	_	0	root	_	-

1	Wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	-
2	brauchen	brauchen	V	VVFIN	1|Pl|Pres|_	0	root	_	-
3	ein	eine	ART	ART	Indef|Neut|_|Sg	5	det	_	-
4	modernes	modern	ADJA	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	-
5	Olympiastadion	Olympiastadion	N	NN	Neut|_|Sg	2	obja	_	-
6	,	,	$,	$,	_	0	root	_	-
7	wenn	wenn	KOUS	KOUS	_	14	konj	_	-
8	Berlin	Berlin	N	NE	_|Nom|Sg	14	subj	_	(2)
9	Austragungsort	Austragungsort	N	NN	_|Nom|Sg	13	pred	_	-
10	der	die	ART	ART	Def|Fem|Gen|Sg	11	det	_	-
11	Fußballweltmeisterschaft	Fußballweltmeisterschaft	N	NN	Fem|Gen|Sg	9	gmod	_	-
12	2006	2006	CARD	CARD	_	11	app	_	-
13	werden	werden	V	VAINF	_	14	aux	_	-
14	will	wollen	V	VMFIN	3|Sg|Pres|Ind	2	neb	_	-
15	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Bisher	bisher	ADV	ADV	_	3	adv	_	-
3	wollen	wollen	V	VMFIN	_|Pl|Pres|_	0	root	_	-
4	Senat	Senat	N	NN	Masc|Nom|Sg	3	subj	_	-
5	und	und	KON	KON	_	4	kon	_	-
6	Bundesregierung	Bundesregierung	N	NN	Fem|Nom|Sg	5	cj	_	-
7	jeweils	jeweils	ADV	ADV	_	9	adv	_	-
8	100	100	CARD	CARD	_	9	attr	_	-
9	Millionen	Million	N	NN	_|_|Sg	24	obja	_	-
10	Mark	Mark	N	NN	_|_|Sg	9	app	_	-
11	für	für	PREP	APPR	Acc	24	pp	_	-
12	die	die	ART	ART	Def|Fem|Acc|Sg	14	det	_	(3
13	geplante	geplant	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	14	attr	_	-
14	Sanierung	Sanierung	N	NN	Fem|Acc|Sg	11	pn	_	3)
15	und	und	KON	KON	_	14	kon	_	-
16	Modernisierung	Modernisierung	N	NN	Fem|Acc|Sg	15	cj	_	(4)
17	des	die	ART	ART	Def|Neut|Gen|Sg	18	det	_	(5
18	Olympiastadions	Olympiastadion	N	NN	Neut|Gen|Sg	14	gmod	_	5)
19	ab	ab	PREP	APPR	Dat	24	pp	_	-
20	Mai	Mai	N	NN	Masc|Dat|Sg	19	pn	_	-
21	2000	2000	CARD	CARD	_	20	app	_	-
22	zur	zu	PREP	APPRART	Dat	24	pp	_	-
