1	Wer	wer	PRO	PWS	_|Nom|Sg	6	subj	_	-
2	passend	passend	ADV	ADJD	_|_	6	adv	_	-
3	über	über	PREP	APPR	Acc	6	pp	_	-
4	die	die	ART	ART	Def|Fem|Acc|Sg	5	det	_	-
5	Schwelle	Schwelle	N	NN	Fem|Acc|Sg	3	pn	_	-
6	schreitet	schreiten	V	VVFIN	3|Sg|Pres|Ind	8	objc	_	-
7	,	,	$,	$,	_	0	root	_	-
8	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
9	Aussicht	Aussicht	N	NN	Fem|Nom|Sg	8	subj	_	-
10	auf	auf	PREP	APPR	Acc	9	pp	_	-
11	einen	eine	ART	ART	Indef|Masc|Acc|Sg	12	det	_	-
12	Preis	Preis	N	NN	Masc|Acc|Sg	10	pn	_	-
13	oder	oder	KON	KON	_	12	kon	_	-
14	wenigstens	wenigstens	ADV	ADV	_	15	adv	_	-
15	Ehre	Ehre	N	NN	Fem|Acc|Sg	13	cj	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	8	pp	_	-
2	Freitag	Freitag	N	NN	_|Dat|Sg	1	pn	_	-
3	(	(	$(	$(	_	0	root	_	-
4	gegen	gegen	PREP	APPR	Acc	2	pp	_	-
5	11	11	CARD	CARD	_	6	attr	_	-
6	Uhr	Uhr	N	NN	Fem|Acc|Sg	4	pn	_	-
7	)	)	$(	$(	_	0	root	_	-
8	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
9	im	in	PREP	APPRART	Dat	8	pp	_	-
10	Libeskindbau	Libeskindbau	N	NN	_|Dat|_	9	pn	_	-
11	des	die	ART	ART	Def|Neut|Gen|Sg	13	det	_	-
12	Jüdischen	jüdisch	ADJA	ADJA	Pos|Neut|Gen|Sg|_|	13	attr	_	-
13	Museums	Museum	N	NN	Neut|Gen|Sg	10	gmod	_	-
14	der	die	ART	ART	Def|_|Gen|Pl	15	det	_	-
15	20.000	20.000	CARD	CARD	_|_|_	13	gmod	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Besucher	Besucher	N	NN	Masc|Nom|Sg	2	subj	_	-
2	erwartet	erwarten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|_|_|_	4	det	_	-
2	oder	oder	KON	KON	_	1	kon	_	-
3	der	die	ART	ART	Def|_|_|_	2	cj	_	-
4	19.998.	19.998.	ADJA	ADJA	_|_|_	5	subj	_	-
5	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	-
6	mit	mit	PREP	APPR	Dat	5	pp	_	-
7	einer	eine	ART	ART	Indef|Fem|Dat|Sg	8	det	_	(0
8	Führung	Führung	N	NN	Fem|Dat|Sg	6	pn	_	-
9	vorlieb	vorlieb	PTKVZ	PTKVZ	_	5	avz	_	-
10	nehmen	nehmen	V	VVINF	_	5	aux	_	-
11	,	,	$,	$,	_	0	root	_	-
12	die	die	PRO	PRELS	Fem|Nom|Sg	21	subj	_	(0)
13	vom	von	PREP	APPRART	Dat	20	pp	_	-
14	Museumspädagogischen	museumspädagogisch	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	_	-
15	Dienst	Dienst	N	NN	Masc|Dat|Sg	13	pn	_	-
16	Berlin	Berlin	N	NE	_|Dat|Sg	15	app	_	-
17	freitags	freitags	ADV	ADV	_	20	adv	_	-
18	bis	bis	PREP	APPR	Acc	20	pp	_	-
19	sonntags	sonntags	ADV	ADV	_	18	adv	_	-
20	angeboten	anbieten	V	VVPP	_	21	aux	_	-
21	wird	werden	V	VAFIN	3|Sg|Pres|Ind	8	rel	_	0)
22	.	.	$.	$.	_	0	root	_	-

