1	Alle	alle	PRO	PIS	_|Nom|Pl	2	subj	_	-
2	denken	denken	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	an	an	PREP	APPR	Acc	2	objp	_	-
4	das	die	ART	ART	Def|Neut|Acc|Sg	5	det	_	-
5	Kosovo	Kosovo	N	NE	Neut|Acc|Sg	3	pn	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Unsere	unsre	ART	PPOSAT	Fem|Nom|Sg	2	det	_	-
2	Serie	Serie	N	NN	Fem|Nom|Sg	3	subj	_	-
3	erinnert	erinnern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	an	an	PREP	APPR	_	3	objp	_	-
5	Konflikte	Konflikt	N	NN	Masc|_|_	4	pn	_	-
6	in	in	PREP	APPR	Dat	5	pp	_	-
7	aller	alle	ART	PIDAT	Fem|Dat|Sg	8	det	_	-
8	Welt	Welt	N	NN	Fem|Dat|Sg	6	pn	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Teil	Teil	N	NN	_|_|Sg	0	root	_	-
2	25	25	CARD	CARD	_	1	app	_	-
3	Es	es	PRO	PPER	3|Sg|Neut|Nom	4	subj	_	-
4	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
5	1995	1995	CARD	CARD	_	4	zeit	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Zwei	zwei	CARD	CARD	_	3	attr	_	-
2	maoistische	maoistische	ADJA	ADJA	_|Fem|Nom|Pl|_	3	attr	_	-
3	Fraktionen	Fraktion	N	NN	Fem|Nom|Pl	9	subj	_	-
4	der	die	ART	ART	Def|Fem|Gen|Sg	7	det	_	-
5	zersplitterten	zersplittert	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	7	attr	_	-
6	Kommunistischen	kommunistisch	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	7	attr	_	-
7	Partei	Partei	N	NN	Fem|Gen|Sg	3	gmod	_	-
8	Nepals	Nepal	N	NE	Neut|Gen|Sg	7	gmod	_	(4)
9	erklärten	erklären	V	VVFIN	3|Pl|Past|_	0	root	_	-
10	der	die	ART	ART	Def|Fem|Dat|Sg	11	det	_	-
11	Regierung	Regierung	N	NN	Fem|Dat|Sg	9	objd	_	-
12	in	in	PREP	APPR	_	9	pp	_	-
13	Kathmandu	Kathmandu	N	NE	Neut|_|Sg	12	pn	_	-
14	den	die	ART	ART	Def|Masc|Acc|Sg	15	det	_	-
