1	Als	Als	KOKOM	KOKOM	_	31	kom	_	-
2	"	"	$(	$(	_	0	root	_	-
3	Filzokratie	Filzokratie	N	NN	_	1	cj	_	-
4	"	"	$(	$(	_	0	root	_	-
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(0
7	AfB-Fraktionssprecher	AfB-Fraktionssprecher	N	NN	Masc|Nom|Sg	5	subj	_	-
8	Andreas	Andrea	N	NE	Masc|Nom|Sg	7	app	_	-
9	Lojewski	Lojewski	N	NE	Masc|Nom|Sg	8	app	_	0)
10	gestern	gestern	ADV	ADV	_	31	adv	_	-
11	die	die	ART	ART	Def|Fem|Acc|Sg	12	det	_	(1
12	Zusammenarbeit	Zusammenarbeit	N	NN	Fem|Acc|Sg	31	obja	_	-
13	zwischen	zwischen	PREP	APPR	Dat	12	pp	_	-
14	Bremer	Bremer	ADJA	ADJA	_|Masc|Dat|Pl|_	15	attr	_	-
15	Naturschutzverbänden	Naturschutzverband	N	NN	Masc|Dat|Pl	13	pn	_	1)
16	und	und	KON	KON	_	12	kon	_	-
17	den	die	ART	ART	Def|Masc|Acc|Sg	18	det	_	-
18	Mitarbeitern	Mitarbeiter	N	NN	Masc|Acc|Sg	16	cj	_	-
19	der	die	ART	ART	Def|Fem|Gen|Sg	21	det	_	-
20	Bremer	Bremer	ADJA	ADJA	_|Fem|Gen|Sg|_	21	attr	_	-
21	Umweltbehörde	Umweltbehörde	N	NN	Fem|Gen|Sg	18	gmod	_	-
22	bei	bei	PREP	APPR	Dat	31	pp	_	-
23	der	die	ART	ART	Def|Fem|Dat|Sg	24	det	_	-
24	Anmeldung	Anmeldung	N	NN	Fem|Dat|Sg	22	pn	_	-
25	von	von	PREP	APPR	Dat	24	pp	_	-
26	FFH-Gebieten	FFH-Gebiet	N	NN	Neut|Dat|Pl	25	pn	_	-
27	bei	bei	PREP	APPR	Dat	31	pp	_	-
28	der	die	ART	ART	Def|Fem|Dat|Sg	30	det	_	-
29	Europäischen	europäisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	30	attr	_	-
30	Union	Union	N	NN	Fem|Dat|Sg	27	pn	_	-
31	bezeichnet	bezeichnen	V	VVPP	_	5	aux	_	-
32	.	.	$.	$.	_	0	root	_	-

1	Lojewski	Lojewski	N	NE	_|Nom|Sg	2	subj	_	(0)
2	forderte	fordern	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	SPD-Umweltsenatorin	SPD-Umweltsenatorin	N	NN	Fem|_|Sg	2	obja	_	-
4	Tine	Tine	N	NE	Masc|_|_	3	app	_	-
5	Wischer	Wischer	N	NN	Masc|_|_	4	app	_	-
6	auf	auf	PTKVZ	PTKVZ	_	2	avz	_	-
7	,	,	$,	$,	_	0	root	_	-
8	dieser	diese	ART	PDAT	Fem|Dat|Sg	9	det	_	(1
9	Zusammenarbeit	Zusammenarbeit	N	NN	Fem|Dat|Sg	13	objd	_	1)
10	ein	eine	ART	ART	Indef|Neut|_|Sg	11	det	_	-
11	Ende	Ende	N	NN	Neut|_|Sg	13	obja	_	-
12	zu	zu	PTKZU	PTKZU	_	13	part	_	-
13	setzen	setzen	V	VVINF	_	2	obji	_	-
14	und	und	KON	KON	_	13	kon	_	-
15	künftig	künftig	ADV	ADJD	Pos|	20	adv	_	-
16	keine	keine	ART	PIAT	_|_|Pl	17	det	_	-
17	Erkenntnisse	Erkenntnis	N	NN	_|_|Pl	20	obja	_	-
18	an	an	PREP	APPR	Acc	20	pp	_	-
19	Verbände	Verband	N	NN	Masc|Acc|Pl	18	pn	_	-
20	weiterzugeben	weitergeben	V	VVIZU	_	14	cj	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Sonst	sonst	ADV	ADV	_	2	adv	_	-
2	betreibe	betreiben	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
3	man	man	PRO	PIS	Fem|Nom|Sg	2	subj	_	-
4	eine	eine	ART	ART	Indef|Fem|Nom|Sg	6	det	_	-
5	"	"	$(	$(	_	0	root	_	-
6	Politik	Politik	N	NN	Fem|Nom|Sg	3	app	_	-
7	zum	zu	PREP	APPRART	Dat	6	pp	_	-
8	Nachteil	Nachteil	N	NN	_|Dat|Sg	7	pn	_	-
9	Bremens	Bremen	N	NE	Neut|Gen|Sg	8	gmod	_	-
10	"	"	$(	$(	_	0	root	_	-
11	,	,	$,	$,	_	0	root	_	-
12	weil	weil	KOUS	KOUS	_	21	konj	_	-
13	immer	immer	ADV	ADV	_	14	adv	_	-
14	neue	neu	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	15	attr	_	-
15	Schutzgebiete	Schutzgebiet	N	NN	Fem|Nom|Pl	21	subj	_	-
16	die	die	ART	ART	Def|Fem|Nom|Pl	19	det	_	-
17	"	"	$(	$(	_	0	root	_	-
18	zukünftigen	zukünftig	ADJA	ADJA	Pos|Fem|Nom|Pl|Wk|	19	attr	_	-
19	Entwicklungsmöglichkeiten	Entwicklungsmöglichkeit	N	NN	Fem|Nom|Pl	15	app	_	-
20	"	"	$(	$(	_	0	root	_	-
21	behinderten	behindern	V	VVFIN	3|Pl|Past|_	2	neb	_	-
22	.	.	$.	$.	_	0	root	_	-

