1	Statt	statt	PREP	APPR	Gen	3	pp	_	-
2	Zuschüsse	Zuschuss	N	NN	Masc|Gen|Pl	1	pn	_	-
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
4	es	es	PRO	PPER	3|Sg|Neut|Nom	3	subj	_	-
5	künftig	künftig	ADV	ADJD	Pos|	9	adv	_	-
6	nur	nur	ADV	ADV	_	9	adv	_	-
7	noch	noch	ADV	ADV	_	9	adv	_	-
8	Kredite	Kredit	N	NN	Masc|_|_	9	obja	_	-
9	geben	geben	V	VVINF	_	3	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	(0
2	baulichen	baulich	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	3	attr	_	-
3	Selbsthilfe	Selbsthilfe	N	NN	Fem|Dat|Sg	6	objd	_	-
4	im	in	PREP	APPRART	Dat	3	pp	_	-
5	Altbau	Altbau	N	NN	Masc|Dat|Sg	4	pn	_	0)
6	droht	drohen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	das	die	ART	ART	Def|Neut|Nom|Sg	8	det	_	-
8	Aus	Aus	N	NN	Neut|Nom|Sg	6	subj	_	-
9	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Wenn	wenn	KOUS	KOUS	_	0	root	_	-
3	die	die	ART	ART	Def|Fem|_|Pl	5	det	_	-
4	neuen	neu	ADJA	ADJA	Pos|Fem|_|Pl|Wk|	5	attr	_	-
5	Förderrichtlinien	Förderrichtlinie	N	NN	Fem|_|Pl	0	root	_	-
6	des	die	ART	ART	Def|Masc|Gen|Sg	7	det	_	-
7	Bausenators	Bausenator	N	NN	Masc|Gen|Sg	5	gmod	_	-
8	erlassen	erlassen	V	VVPP	_	0	root	_	-
9	werden	werden	V	VAINF	_	0	root	_	-
10	"	"	$(	$(	_	0	root	_	-
11	,	,	$,	$,	_	0	root	_	-
12	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
13	gestern	gestern	ADV	ADV	_	12	adv	_	-
14	Gereon	Gereon	N	NE	_|Nom|Sg	12	subj	_	(10
15	Asmuth	Asmuth	N	NE	_|Nom|Sg	14	app	_	10)
16	vom	von	PREP	APPRART	Dat	12	pp	_	-
17	Arbeitskreis	Arbeitskreis	N	NN	Masc|Dat|Sg	16	pn	_	-
18	Berliner	Berliner	ADJA	ADJA	Pos|Fem|Dat|Pl|_|	19	attr	_	-
19	Selbsthilfegruppen	Selbsthilfegruppe	N	NN	Fem|Dat|Pl	17	app	_	-
20	(	(	$(	$(	_	0	root	_	-
21	AKS	AKS	N	NE	Fem|Dat|Pl	19	app	_	-
22	)	)	$(	$(	_	0	root	_	-
23	Alarm	Alarm	N	NN	Masc|_|Sg	12	obja	_	-
24	,	,	$,	$,	_	0	root	_	-
25	"	"	$(	$(	_	0	root	_	-
26	dann	dann	ADV	ADV	_	27	adv	_	-
27	kann	können	V	VMFIN	3|Sg|Pres|Ind	12	kon	_	-
28	die	die	ART	ART	Def|Fem|Nom|Sg	29	det	_	(0
29	Selbsthilfe	Selbsthilfe	N	NN	Fem|Nom|Sg	27	subj	_	0)
30	von	von	PREP	APPR	Dat	35	pp	_	-
31	den	die	ART	ART	Def|Masc|Dat|Pl	32	det	_	-
