1	Berlin	Berlin	N	NE	_|_|Sg	0	root	_	-
2	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Anzahl	Anzahl	N	NN	Fem|Nom|Sg	8	subj	_	-
3	der	die	ART	ART	Def|Masc|Gen|Pl	4	det	_	-
4	Studienplätze	Studienplatz	N	NN	Masc|Gen|Pl	2	gmod	_	-
5	an	an	PREP	APPR	Dat	8	pp	_	-
6	den	die	ART	ART	Def|Fem|Dat|Pl	7	det	_	-
7	Fachhochschulen	Fachhochschule	N	NN	Fem|Dat|Pl	5	pn	_	-
8	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	-
9	von	von	PREP	APPR	_	15	pp	_	-
10	nominell	nominell	ADV	ADV	_	11	adv	_	-
11	17.200	17.200	CARD	CARD	_	9	pn	_	-
12	auf	auf	PREP	APPR	_	15	pp	_	-
13	mindestens	mindestens	ADV	ADV	_	14	adv	_	-
14	25.000	25.000	CARD	CARD	_	12	pn	_	-
15	erhöht	erhöhen	V	VVPP	_	8	neb	_	-
16	und	und	KON	KON	_	15	kon	_	-
17	das	die	ART	ART	Def|Neut|_|Sg	18	det	_	-
18	Fächerspektrum	Fächerspektrum	N	NN	Neut|_|Sg	19	obja	_	-
19	erweitert	erweitern	V	VVPP	_	16	cj	_	-
20	werden	werden	V	VAINF	_	0	root	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Diese	diese	ART	PDAT	Fem|Nom|Sg	2	det	_	(0
2	Empfehlung	Empfehlung	N	NN	Fem|Nom|Sg	3	subj	_	0)
3	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
4	die	die	ART	ART	Def|Fem|_|Sg	5	det	_	-
5	Landeshochschulstrukturkommission	Landeshochschulstrukturkommission	N	NN	Fem|_|Sg	3	obja	_	-
6	auf	auf	PREP	APPR	Dat	3	pp	_	-
7	ihrer	ihre	ART	PPOSAT	Fem|Dat|Sg	9	det	_	(0)
8	neunten	neunt	ADJA	ADJA	_|Fem|Dat|Sg|Wk|	9	attr	_	-
9	Sitzung	Sitzung	N	NN	Fem|Dat|Sg	6	pn	_	-
10	aus	aus	PTKVZ	PTKVZ	_	3	avz	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Fachhochschulen	Fachhochschule	N	NN	Fem|Nom|Pl	2	subj	_	-
2	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	-
3	zusammengeschlossen	zusammengeschlossen	V	VVPP	_	4	aux	_	-
4	werden	werden	V	VAINF	_	2	aux	_	-
5	.	.	$.	$.	_	0	root	_	-

