1	Es	es	PRO	PPER	3|Sg|Neut|_	15	expl	_	-
2	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
3	nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
4	allzu	allzu	PTKA	PTKA	_	5	adv	_	-
5	häufig	häufig	ADV	ADJD	Pos|	2	adv	_	-
6	vor	vor	PTKVZ	PTKVZ	_	2	avz	_	-
7	,	,	$,	$,	_	0	root	_	-
8	daß	daß	KOUS	KOUS	_	15	konj	_	-
9	an	an	PREP	APPR	Dat	14	pp	_	-
10	dieser	diese	ART	PDAT	Fem|Dat|Sg	11	det	_	-
11	Stelle	Stelle	N	NN	Fem|Dat|Sg	9	pn	_	-
12	politische	politisch	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	13	attr	_	-
13	Entscheidungen	Entscheidung	N	NN	Fem|Nom|Pl	15	subj	_	-
14	gelobt	geloben	V	VVPP	_	15	aux	_	-
15	werden	werden	V	VAFIN	3|Pl|Pres|_	2	subjc	_	-
16	,	,	$,	$,	_	0	root	_	-
17	schon	schon	ADV	ADV	_	19	adv	_	-
18	gar	gar	ADV	ADV	_	19	adv	_	-
19	nicht	nicht	PTKNEG	PTKNEG	_	20	adv	_	-
20	welche	welche	PRO	PIS	_|_|_	0	root	_	-
21	aus	aus	PREP	APPR	Dat	20	pp	_	-
22	Bremerhaven	Bremerhaven	N	NE	Neut|Dat|Sg	21	pn	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	heute	heute	ADV	ADV	_	3	adv	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	-
4	es	es	PRO	PPER	3|Sg|Neut|Nom	3	subj	_	-
5	mal	mal	ADV	ADV	_	3	adv	_	-
6	soweit	soweit	ADV	ADV	_	3	pred	_	-
7	:	\:	$.	$.	_	0	root	_	-
8	Daß	daß	KOUS	KOUS	_	22	konj	_	-
9	der	die	ART	ART	Def|Masc|Nom|Sg	10	det	_	(0
10	Magistrat	Magistrat	N	NN	Masc|Nom|Sg	22	subj	_	0)
11	endlich	endlich	ADV	ADJD	Pos|	21	adv	_	-
12	bei	bei	PREP	APPR	Dat	21	pp	_	-
13	den	die	ART	ART	Def|Masc|Dat|Pl	15	det	_	-
14	windigen	windig	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	15	attr	_	-
15	Privatisierungsplänen	Privatisierungsplan	N	NN	Masc|Dat|Pl	12	pn	_	-
16	für	für	PREP	APPR	Acc	15	pp	_	-
17	die	die	ART	ART	Def|Fem|Acc|Sg	18	det	_	-
18	Stadthalle	Stadthalle	N	NN	Fem|Acc|Sg	16	pn	_	-
19	die	die	ART	ART	Def|Fem|_|Sg	20	det	_	-
20	Notbremse	Notbremse	N	NN	Fem|_|Sg	21	obja	_	-
21	gezogen	ziehen	V	VVPP	_	22	aux	_	-
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
23	,	,	$,	$,	_	0	root	_	-
24	das	die	PRO	PDS	Neut|Nom|Sg	25	subj	_	-
25	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
26	mutig	mutig	ADV	ADJD	Pos|	25	pred	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Vor	vor	PREP	APPR	Dat	0	root	_	-
2	allem	alle	PRO	PIS	_|Dat|Sg	1	pn	_	-
3	,	,	$,	$,	_	0	root	_	-
4	weil	weil	KOUS	KOUS	_	13	konj	_	-
5	sich	sie	PRO	PRF	3|_|_	13	obja	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(0
7	Magistrat	Magistrat	N	NN	Masc|Nom|Sg	13	subj	_	0)
8	nun	nun	ADV	ADV	_	13	adv	_	-
9	mit	mit	PREP	APPR	Dat	13	objp	_	-
10	einem	eine	ART	ART	Indef|Masc|Dat|Sg	12	det	_	-
11	mächtigen	mächtig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	12	attr	_	-
12	Interessenten	Interessent	N	NN	Masc|Dat|Sg	9	pn	_	-
13	anlegt	anlegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
14	:	\:	$.	$.	_	0	root	_	-
15	der	die	ART	ART	Def|Fem|_|Sg	16	det	_	-
16	Ditzen-Gruppe	Ditzen-Gruppe	N	NN	Fem|_|Sg	0	root	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Zu	zu	PREP	APPR	Dat	3	objp	_	-
2	der	die	PRO	PDS	Fem|Dat|Sg	1	pn	_	-
3	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	nämlich	nämlich	ADV	ADV	_	3	adv	_	-
5	das	die	ART	ART	Def|Neut|_|Sg	6	det	_	-
6	Monopolblatt	Monopolblatt	N	NN	Fem|Nom|Sg	3	subj	_	-
7	Nordsee-Zeitung	Nordsee-Zeitung	N	NN	Fem|Nom|Sg	6	app	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Da	da	ADV	ADV	_	2	adv	_	-
2	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
3	man	man	PRO	PIS	_|Nom|Sg	2	subj	_	-
4	als	als	KOKOM	KOKOM	_	9	kom	_	-
5	PolitikerIn	PolitikerIn	N	NN	Fem|_|Sg	4	cj	_	-
6	schonmal	schonmal	ADV	ADJD	_	9	adv	_	-
7	kalte	kalt	ADJA	ADJA	Pos|Masc|_|Pl|St|	8	attr	_	-
8	Füße	Fuß	N	NN	Masc|_|Pl	9	obja	_	-
9	bekommen	bekommen	V	VVINF	_	2	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	So	so	ADV	ADV	_	2	adv	_	-
2	weit	weit	ADV	ADJD	Pos|	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	so	so	ADV	ADV	_	5	adv	_	-
5	lobenswert	lobenswert	ADV	ADJD	Pos|	2	kon	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Lobenswert	Lobenswert	N	NN	Masc|_|Sg	0	root	_	-
2	allerdings	allerdings	ADV	ADV	_	3	adv	_	-
3	nur	nur	ADV	ADV	_	4	adv	_	-
4	unter	unter	PREP	APPR	_	1	pp	_	-
5	besonderer	besonderer	ADJA	ADJA	_|Fem|_|Sg|_	6	attr	_	-
6	Berücksichtigung	Berücksichtigung	N	NN	Fem|_|Sg	4	pn	_	-
7	Bremerhavener	Bremerhavener	ADJA	ADJA	Pos|Neut|_|_|_|	8	attr	_	-
