1	Wie	Wie	PWAV	PWAV	_	4	adv	_	-
2	es	es	PRO	PPER	3|Sg|Neut|Nom	4	subj	_	-
3	wirklich	wirklich	ADV	ADJD	Pos|	4	pred	_	-
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
5	:	\:	$.	$.	_	0	root	_	-
6	Links	Link	N	NN	Masc|_|_	0	root	_	-
7	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	-
8	Start	Start	N	NN	Masc|Nom|Sg	0	root	_	-
9	der	die	ART	ART	Def|Fem|Gen|Sg	10	det	_	-
10	Saturn-Rakete	Saturn-Rakete	N	NN	Fem|Gen|Sg	8	gmod	_	-
11	,	,	$,	$,	_	0	root	_	-
12	die	die	ART	ART	Def|Fem|Nom|Sg	13	det	_	-
13	Apollo	Apollo	N	NN	Fem|Nom|Sg	17	subj	_	-
14	13	13	CARD	CARD	_	13	app	_	-
15	ins	in	PREP	APPRART	Acc	17	pp	_	-
16	All	All	N	NN	Neut|Acc|Sg	15	pn	_	-
17	flog	fliegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
18	,	,	$,	$,	_	0	root	_	-
19	im	in	PREP	APPRART	Dat	17	pp	_	-
20	April	April	N	NN	Masc|Dat|Sg	19	pn	_	-
21	1970	1970	CARD	CARD	_	20	app	_	-
22	,	,	$,	$,	_	0	root	_	-
23	als	als	KOUS	KOUS	_	28	konj	_	-
24	noch	noch	ADV	ADV	_	28	adv	_	-
25	kaum	kaum	ADV	ADV	_	28	adv	_	-
26	ein	eine	ART	ART	Indef|Neut|Nom|Sg	27	det	_	-
27	Schwein	Schwein	N	NN	Neut|Nom|Sg	28	subj	_	-
28	guckte	gucken	V	VVFIN	3|Sg|Past|_	17	neb	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Oben	oben	ADV	ADV	_	3	adv	_	(0
2	das	die	ART	ART	Def|Neut|_|Sg	3	det	_	-
3	Gerät	Gerät	N	NN	Neut|_|Sg	0	root	_	-
4	aus	aus	PREP	APPR	Dat	3	pp	_	-
5	praktischer	praktisch	ADJA	ADJA	Pos|Fem|Dat|Sg|St|	6	attr	_	-
6	Vernunft	Vernunft	N	NN	Fem|Dat|Sg	4	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	Tesafilm	Tesafilm	N	NN	Masc|Dat|Sg	6	kon	_	-
9	und	und	KON	KON	_	8	kon	_	-
10	Pappe	Pappe	N	NN	Fem|Dat|Sg	9	cj	_	-
11	,	,	$,	$,	_	0	root	_	-
12	das	die	PRO	PRELS	Neut|Nom|Sg	16	subj	_	(0)
13	es	es	PRO	PPER	3|Sg|Neut|_	16	obja	_	-
14	den	die	ART	ART	Def|Masc|Dat|Pl	15	det	_	-
15	Astronauten	Astronaut	N	NN	Masc|Dat|Pl	16	objd	_	-
16	ermöglichte	ermöglichen	V	VVFIN	3|Sg|Past|_	3	rel	_	0)
17	,	,	$,	$,	_	0	root	_	-
18	Gesundes	Gesundes	N	NN	Neut|_|Sg	20	obja	_	-
19	zu	zu	PTKZU	PTKZU	_	20	part	_	-
20	atmen	atmen	V	VVINF	_	10	obji	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Darüber	Darüber	PROAV	PROAV	_	3	pp	_	-
2	das	die	ART	ART	Def|Neut|_|Sg	3	det	_	-
3	Gruppenbild	Gruppenbild	N	NN	Neut|_|Sg	0	root	_	-
4	Lovell	Lovell	N	NE	Fem|_|Sg	3	app	_	-
5	,	,	$,	$,	_	0	root	_	-
6	Haise	Haise	N	NE	Fem|_|Sg	4	app	_	-
7	und	und	KON	KON	_	6	kon	_	-
8	Swigert	Swigert	N	NN	Fem|_|Sg	7	cj	_	-
9	mit	mit	PREP	APPR	Dat	8	pp	_	-
10	dem	die	ART	ART	Def|Masc|Dat|Sg	11	det	_	-
11	Präsidenten	Präsident	N	NN	Masc|Dat|Sg	9	pn	_	-
12	Nixon	Nixon	N	NE	Masc|Dat|Sg	11	app	_	-
13	,	,	$,	$,	_	0	root	_	-
14	und	und	KON	KON	_	4	kon	_	-
15	unten	unten	ADV	ADV	_	18	adv	_	-
16	die	die	ART	ART	Def|Fem|_|Sg	18	det	_	-
17	wunderbare	wunderbar	ADJA	ADJA	Pos|Fem|_|Sg|_|	18	attr	_	-
18	Rettung	Rettung	N	NN	Fem|_|Sg	14	cj	_	-
19	:	\:	$.	$.	_	0	root	_	-
20	An	an	PREP	APPR	_	22	pp	_	-
21	Fallschirmen	Fallschirm	N	NN	_|_|_	20	pn	_	-
22	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
23	die	die	ART	ART	Def|Fem|Nom|Sg	24	det	_	-
24	Mondkapsel	Mondkapsel	N	NN	Fem|Nom|Sg	22	subj	_	-
25	auf	auf	PREP	APPR	Acc	28	pp	_	-
26	den	die	ART	ART	Def|Masc|Acc|Sg	27	det	_	-
27	Südpazifik	Südpazifik	N	NN	Masc|Acc|Sg	25	pn	_	-
28	heruntergelassen	herunterlassen	V	VVPP	_	22	aux	_	-
29	.	.	$.	$.	_	0	root	_	-

