1	Berlin	Berlin	N	NE	_|_|Sg	0	root	_	-
2	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Talsohle	Talsohle	N	NN	Fem|Nom|Sg	13	subj	_	-
3	beim	bei	PREP	APPRART	Dat	2	pp	_	-
4	Beschäftigtenabbau	Beschäftigtenabbau	N	NN	Masc|Dat|Sg	3	pn	_	-
5	in	in	PREP	APPR	Dat	4	pp	_	-
6	der	die	ART	ART	Def|_|_|_	7	det	_	-
7	Metall-	Metall-	TRUNC	TRUNC	Fem|_|Sg	5	pn	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	Elektroindustrie	Elektroindustrie	N	NN	Fem|_|Sg	8	cj	_	-
10	des	die	ART	ART	Def|_|Gen|Sg	12	det	_	-
11	Berliner	Berliner	ADJA	ADJA	Pos|_|Gen|Sg|_|	12	attr	_	-
12	Ostteils	Ostteil	N	NN	_|Gen|Sg	7	gmod	_	-
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
14	nach	nach	PREP	APPR	Dat	23	pp	_	-
15	Ansicht	Ansicht	N	NN	Fem|Dat|Sg	14	pn	_	-
16	von	von	PREP	APPR	_	15	pp	_	-
17	Experten	Experte	N	NN	_|_|_	16	pn	_	-
18	der	die	ART	ART	Def|Fem|Gen|Sg	20	det	_	-
19	Technischen	technisch	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	20	attr	_	-
20	Universität	Universität	N	NN	Fem|Gen|Sg	17	gmod	_	-
21	noch	noch	ADV	ADV	_	22	adv	_	-
22	nicht	nicht	PTKNEG	PTKNEG	_	23	adv	_	-
23	erreicht	erreichen	V	VVPP	_	13	aux	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Von	von	PREP	APPR	Dat	9	pp	_	-
2	den	die	ART	ART	Def|Masc|Dat|Pl	5	det	_	-
3	einst	einst	ADV	ADV	_	5	adv	_	-
4	160.000	160.000	CARD	CARD	_	5	attr	_	-
5	Arbeitnehmern	Arbeitnehmer	N	NN	Masc|Dat|Pl	1	pn	_	-
6	in	in	PREP	APPR	Dat	5	pp	_	-
7	dieser	diese	ART	PDAT	Fem|Dat|Sg	8	det	_	-
8	Branche	Branche	N	NN	Fem|Dat|Sg	6	pn	_	-
9	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	-
10	derzeit	derzeit	ADV	ADV	_	9	adv	_	-
11	noch	noch	ADV	ADV	_	9	adv	_	-
12	46.000	46.000	CARD	CARD	_	9	subj	_	-
13	einen	eine	ART	ART	Indef|Masc|Acc|Sg	14	det	_	-
14	Job	Job	N	NN	Masc|Acc|Sg	9	obja	_	-
15	,	,	$,	$,	_	0	root	_	-
16	weist	weisen	V	VVFIN	_|_|Pres|Ind	9	kon	_	-
17	ein	eine	ART	ART	Indef|Neut|_|Sg	23	det	_	-
18	vom	von	PREP	APPRART	Dat	22	pp	_	-
19	Wirtschaftssenator	Wirtschaftssenator	N	NN	Masc|Dat|Sg	18	pn	_	-
20	in	in	PREP	APPR	_	19	pp	_	-
21	Auftrag	Auftrag	N	NN	Masc|_|Sg	20	pn	_	-
22	gegebenes	gegeben	ADJA	ADJA	Pos|Neut|_|Sg|St|	23	attr	_	-
23	Gutachten	Gutachten	N	NN	Neut|_|Sg	16	obja	_	-
24	aus	aus	PTKVZ	PTKVZ	_	16	avz	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Obwohl	obwohl	KOUS	KOUS	_	14	konj	_	-
2	es	es	PRO	PPER	3|Sg|Neut|Nom	14	subj	_	-
3	in	in	PREP	APPR	Dat	13	pp	_	-
4	den	die	ART	ART	Def|Neut|Dat|Pl	6	det	_	-
5	vergangenen	vergangen	ADJA	ADJA	Pos|Neut|Dat|Pl|_|	6	attr	_	-
6	Jahren	Jahr	N	NN	Neut|Dat|Pl	3	pn	_	-
7	bereits	bereits	ADV	ADV	_	8	adv	_	-
8	starke	stark	ADJA	ADJA	Pos|Masc|_|Pl|St|	9	attr	_	-
9	Einbrüche	Einbruch	N	NN	Masc|_|Pl	13	obja	_	-
10	auf	auf	PREP	APPR	Dat	13	pp	_	-
11	den	die	ART	ART	Def|Masc|Dat|Pl	12	det	_	-
12	Märkten	Markt	N	NN	Masc|Dat|Pl	10	pn	_	-
13	gegeben	geben	V	VVPP	_	14	aux	_	-
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	16	neb	_	-
15	,	,	$,	$,	_	0	root	_	-
16	sanken	sinken	V	VVFIN	3|Pl|Past|Ind	0	root	_	-
17	bis	bis	PREP	APPR	Acc	16	pp	_	-
18	Mitte	Mitte	N	NN	Fem|Acc|Sg	17	pn	_	-
19	1992	1992	CARD	CARD	_	18	app	_	-
20	die	die	ART	ART	Def|Masc|Nom|Pl	21	det	_	-
21	Absatzerlöse	Absatzerlös	N	NN	Masc|Nom|Pl	16	subj	_	-
22	gegenüber	gegenüber	PREP	APPR	Dat	21	pp	_	-
23	dem	die	ART	ART	Def|Neut|Dat|Sg	24	det	_	-
24	Vorjahr	Vorjahr	N	NN	Neut|Dat|Sg	22	pn	_	-
25	nochmals	nochmals	ADV	ADV	_	16	adv	_	-
26	um	um	PREP	APPR	_	16	pp	_	-
27	40	40	CARD	CARD	_	28	attr	_	-
28	Prozent	Prozent	N	NN	Neut|_|Pl	26	pn	_	-
29	im	in	PREP	APPRART	Dat	16	pp	_	-
30	Maschinenbau	Maschinenbau	N	NN	Masc|Dat|Sg	29	pn	_	-
31	und	und	KON	KON	_	30	kon	_	-
32	26	26	CARD	CARD	_	33	attr	_	-
33	Prozent	Prozent	N	NN	Neut|Dat|Pl	31	cj	_	-
34	in	in	PREP	APPR	Dat	16	pp	_	-
35	der	die	ART	ART	Def|Fem|Dat|Sg	36	det	_	-
36	Elektrotechnik	Elektrotechnik	N	NN	Fem|Dat|Sg	34	pn	_	-
37	.	.	$.	$.	_	0	root	_	-

