1	Um	Um	KOUI	KOUI	_	6	konj	_	-
2	mal	mal	ADV	ADV	_	6	adv	_	-
3	mit	mit	PREP	APPR	Dat	6	pp	_	-
4	dem	die	ART	ART	Def|_|Dat|Sg	5	det	_	-
5	einfacheren	einfach	ADJA	ADJA	_|Dat|Sg	3	pn	_	-
6	anzufangen	anfangen	V	VVIZU	_	0	root	_	-
7	:	\:	$.	$.	_	0	root	_	-
8	1976	1976	CARD	CARD	_	11	zeit	_	-
9	bis	bis	PREP	APPR	Acc	8	pp	_	-
10	1995	1995	CARD	CARD	_	9	pn	_	-
11	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
12	19	19	CARD	CARD	_	13	attr	_	-
13	Jahre	Jahr	N	NN	Neut|Nom|Pl	11	subj	_	-
14	radikal	radikal	ADV	ADJD	Pos|	11	pred	_	-
15	,	,	$,	$,	_	0	root	_	-
16	nicht	nicht	PTKNEG	PTKNEG	_	19	adv	_	-
17	17	17	CARD	CARD	_	18	attr	_	-
18	Jahre	Jahr	N	NN	Neut|_|Pl	19	grad	_	-
19	radikal	radikal	ADV	ADJD	Pos|	14	kon	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
2	Oliver	Oliver	N	NE	_|Nom|Sg	4	subj	_	-
3	Tolmein	Tolmein	N	NE	_|Nom|Sg	2	app	_	-
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	einen	eine	ART	ART	Indef|Masc|Acc|Sg	6	det	_	(0
6	Film	Film	N	NN	Masc|Acc|Sg	4	obja	_	-
7	(	(	$(	$(	_	0	root	_	-
8	der	die	PRO	PRELS	Masc|Nom|Sg	11	subj	_	(0)
9	ein	eine	ART	ART	Indef|Neut|Nom|Sg	10	det	_	(12
10	Video	Video	N	NN	Neut|Nom|Sg	11	pred	_	12)
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	par	_	0)
12	)	)	$(	$(	_	0	root	_	-
13	über	über	PREP	APPR	_	4	pp	_	-
14	radikal	radikal	N	NE	_|_|_	13	pn	_	-
15	(	(	$(	$(	_	0	root	_	-
16	schreibt	schreiben	V	VVFIN	_|_|Pres|Ind	0	root	_	-
17	sich	sie	PRO	PRF	3|_|_	16	obja	_	-
18	wirklich	wirklich	ADV	ADJD	Pos|	16	adv	_	-
19	klein	klein	ADV	ADJD	Pos|	16	adv	_	-
20	,	,	$,	$,	_	0	root	_	-
21	ganz	ganz	ADV	ADV	_	22	adv	_	-
22	wie	wie	KOKOM	KOKOM	_	0	root	_	-
23	die	die	ART	ART	Def|_|_|_	24	det	_	(5
24	taz	taz	N	NE	_|_|_	22	cj	_	5)
25	)	)	$(	$(	_	0	root	_	-
26	gemacht	machen	V	VVPP	_	0	root	_	-
27	,	,	$,	$,	_	0	root	_	-
28	sondern	sondern	KON	KON	_	0	root	_	-
29	Bertram	Bertram	N	NN	Masc|Nom|Sg	34	subj	_	(1
30	Rotermund	Rotermund	N	NN	Masc|Nom|Sg	29	app	_	1)
31	und	und	KON	KON	_	30	kon	_	-
32	Oliver	Oliver	N	NE	Masc|Nom|Sg	31	cj	_	-
33	Tolmein	Tolmein	N	NE	Masc|Nom|Sg	32	app	_	-
34	haben	haben	V	VAFIN	_|Pl|Pres|_	28	cj	_	-
35	gleichberechtigt	gleichberechtigt	ADV	ADJD	Pos|	34	adv	_	-
36	zusammen	zusammen	PTKVZ	PTKVZ	_	34	avz	_	-
37	,	,	$,	$,	_	0	root	_	-
38	im	in	PREP	APPRART	Dat	34	pp	_	-
39	Kleinstkollektiv	Kleinstkollektiv	N	NN	Neut|Dat|Sg	38	pn	_	-
40	sozusagen	sozusagen	ADV	ADV	_	39	adv	_	-
41	...	...	$.	$.	_	0	root	_	-

1	Uns	wir	PRO	PPER	1|Pl|_|_	4	obja	_	(3)
2	beide	beide	PRO	PIS	_|Acc|Pl	1	app	_	-
3	zu	zu	PTKZU	PTKZU	_	4	part	_	-
4	erwähnen	erwähnen	V	VVINF	_	5	aux	_	-
5	hätte	haben	V	VAFIN	_|Sg|Past|Subj	0	root	_	-
6	aber	aber	ADV	ADV	_	4	adv	_	-
7	,	,	$,	$,	_	0	root	_	-
8	das	die	PRO	PDS	Neut|_|Sg	9	obja	_	-
9	sehe	sehen	V	VVFIN	1|Sg|Pres|_	5	kon	_	-
10	ich	ich	PRO	PPER	1|Sg|_|Nom	9	subj	_	(5)
11	ein	ein	PTKVZ	PTKVZ	_	9	avz	_	-
12	,	,	$,	$,	_	0	root	_	-
