1	Wenn	wenn	KOUS	KOUS	_	7	konj	_	-
2	'	'	$(	$(	_	0	root	_	-
3	s	s	PRO	PPER	_|Sg|_|Nom	7	subj	_	-
4	denn	denn	ADV	ADV	_	7	adv	_	-
5	so	so	ADV	ADV	_	6	adv	_	-
6	einfach	einfach	ADV	ADJD	Pos|	7	pred	_	-
7	wäre	sein	V	VAFIN	_|Sg|Past|Subj	0	root	_	-
8	:	\:	$.	$.	_	0	root	_	-
9	Mit	mit	PREP	APPR	Dat	18	pp	_	-
10	Wünschen	Wunsch	N	NN	_|Dat|_	9	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	Ideen	Idee	N	NN	Fem|Dat|Pl	10	kon	_	-
13	und	und	KON	KON	_	12	kon	_	-
14	Vorschlägen	Vorschlag	N	NN	Masc|Dat|Pl	13	cj	_	-
15	,	,	$,	$,	_	0	root	_	-
16	auf	auf	PREP	APPR	_	18	pp	_	-
17	Stoffstreifen	Stoffstreife	N	NN	_|_|_	16	pn	_	-
18	gemalt	malen	V	VVPP	_	20	neb	_	-
19	,	,	$,	$,	_	0	root	_	-
20	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
21	am	an	PREP	APPRART	Dat	26	pp	_	-
22	Sonnabend	Sonnabend	N	NN	Masc|Dat|Sg	21	pn	_	-
23	das	die	ART	ART	Def|Neut|Nom|Sg	24	det	_	-
24	Ozonloch	Ozonloch	N	NN	Neut|Nom|Sg	20	subj	_	-
25	symbolisch	symbolisch	ADV	ADJD	Pos|	26	adv	_	-
26	gestopft	stopfen	V	VVPP	_	20	aux	_	-
27	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	_	6	pp	_	-
2	und	und	KON	KON	_	1	kon	_	-
3	vor	vor	PREP	APPR	Dat	2	cj	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
5	Fischauktionshalle	Fischauktionshalle	N	NN	Fem|Dat|Sg	3	pn	_	-
6	feierten	feiern	V	VVFIN	3|Pl|Past|_	0	root	_	-
7	fast	fast	ADV	ADV	_	6	adv	_	-
8	1000	1000	CARD	CARD	_	9	attr	_	-
9	Greenteam-Kids	Greenteam-Kids	N	NN	_|Nom|Pl	6	subj	_	-
10	zwischen	zwischen	PREP	APPR	Dat	9	pp	_	-
11	zehn	zehn	CARD	CARD	_	14	attr	_	-
12	und	und	KON	KON	_	11	kon	_	-
13	14	14	CARD	CARD	_	12	cj	_	-
14	Jahren	Jahr	N	NN	Neut|Dat|Pl	10	pn	_	-
15	aus	aus	PREP	APPR	Dat	6	pp	_	-
16	ganz	ganz	ART	PIDAT	Neut|Dat|Sg	17	det	_	-
17	Deutschland	Deutschland	N	NE	Neut|Dat|Sg	15	pn	_	-
18	den	die	ART	ART	Def|Masc|Acc|Sg	20	det	_	-
19	5.	5.	ADJA	ADJA	_|Masc|Acc|Sg|_|	20	attr	_	-
20	Geburtstag	Geburtstag	N	NN	Masc|Acc|Sg	6	obja	_	-
21	der	die	ART	ART	Def|Fem|Gen|Pl	22	det	_	-
22	Greenpeace-Jugendorganisationen	Greenpeace-Jugendorganisation	N	NN	Fem|Gen|Pl	20	gmod	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Motto	Motto	N	NN	Neut|_|Sg	0	root	_	-
2	der	die	ART	ART	Def|Fem|Gen|Sg	3	det	_	-
3	Riesenfete	Riesenfete	N	NN	Fem|Gen|Sg	1	gmod	_	-
4	:	\:	$.	$.	_	0	root	_	-
5	"	"	$(	$(	_	0	root	_	-
6	Mit	mit	PREP	APPR	Dat	9	pp	_	-
7	uns	wir	PRO	PPER	1|Pl|_|Dat	6	pn	_	-
8	die	die	ART	ART	Def|Fem|_|Sg	9	det	_	-
9	Zukunft	Zukunft	N	NN	Fem|_|Sg	0	root	_	-
10	statt	statt	PREP	APPR	_	9	pp	_	-
11	nach	nach	PREP	APPR	Dat	14	pp	_	-
12	Euch	ihr	PRO	PPER	2|Pl|_|Dat	11	pn	_	-
13	die	die	ART	ART	Def|Fem|_|Sg	14	det	_	-
14	Sintflut	Sintflut	N	NN	Fem|_|Sg	10	pn	_	-
15	"	"	$(	$(	_	0	root	_	-
16	.	.	$.	$.	_	0	root	_	-

