1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	auch	auch	ADV	ADV	_	12	adv	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	(0
5	überarbeitete	überarbeitet	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	_	-
6	Programmentwurf	Programmentwurf	N	NN	Masc|Nom|Sg	12	subj	_	-
7	der	die	ART	ART	Def|_|Gen|_	8	det	_	-
8	Bündnisgrünen	Bündnisgrüne	N	NN	_|Gen|_	6	gmod	_	-
9	für	für	PREP	APPR	Acc	8	pp	_	-
10	die	die	ART	ART	Def|Fem|Acc|Sg	11	det	_	-
11	Bundestagswahl	Bundestagswahl	N	NN	Fem|Acc|Sg	9	pn	_	0)
12	dürfte	dürfen	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
13	nach	nach	PREP	APPR	Dat	22	pp	_	-
14	Einschätzung	Einschätzung	N	NN	Fem|Dat|Sg	13	pn	_	-
15	von	von	PREP	APPR	_	14	pp	_	-
16	Vorstandssprecher	Vorstandssprecher	N	NN	Masc|_|_	15	pn	_	(1
17	Jürgen	Jürgen	N	NE	Masc|_|_	16	app	_	-
18	Trittin	Trittin	N	NE	Masc|_|_	17	app	_	1)
19	der	die	ART	ART	Def|_|Gen|_	20	det	_	-
20	SPD	SPD	N	NE	_|Gen|_	18	gmod	_	-
21	nicht	nicht	PTKNEG	PTKNEG	_	22	adv	_	-
22	gefallen	fallen	V	VVPP	_	12	neb	_	-
23	:	\:	$.	$.	_	0	root	_	-
24	Das	die	ART	ART	Def|Neut|Nom|Sg	25	det	_	(5
25	Programm	Programm	N	NN	Neut|Nom|Sg	27	subj	_	5)
26	"	"	$(	$(	_	0	root	_	-
27	war	sein	V	VAFIN	3|Sg|Past|Ind	47	s	_	-
28	vorher	vorher	ADV	ADV	_	27	adv	_	-
29	nicht	nicht	PTKNEG	PTKNEG	_	27	adv	_	-
30	SPD-kompatibel	SPD-kompatibel	ADV	ADJD	Pos|	27	pred	_	-
31	,	,	$,	$,	_	0	root	_	-
32	und	und	KON	KON	_	27	kon	_	-
33	es	es	PRO	PPER	3|Sg|Neut|Nom	34	subj	_	-
34	wird	werden	V	VAFIN	3|Sg|Pres|Ind	32	cj	_	-
35	nie	nie	ADV	ADV	_	37	adv	_	-
36	SPD-kompatibel	SPD-kompatibel	ADV	ADJD	Pos|	37	pred	_	-
37	sein	sein	V	VAINF	_	34	aux	_	-
38	,	,	$,	$,	_	0	root	_	-
39	weil	weil	KOUS	KOUS	_	44	konj	_	-
40	es	es	PRO	PPER	3|Sg|Neut|Nom	44	subj	_	-
41	ein	eine	ART	ART	Indef|Neut|Nom|Sg	43	det	_	-
42	grünes	grün	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	43	attr	_	-
43	Programm	Programm	N	NN	Neut|Nom|Sg	44	pred	_	-
44	ist	sein	V	VAFIN	3|Sg|Pres|Ind	34	neb	_	-
45	"	"	$(	$(	_	0	root	_	-
46	,	,	$,	$,	_	0	root	_	-
47	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	-
48	er	er	PRO	PPER	3|Sg|Masc|Nom	47	subj	_	(0)
49	gestern	gestern	ADV	ADV	_	47	adv	_	-
50	in	in	PREP	APPR	_	47	pp	_	-
51	Bonn	Bonn	N	NE	Neut|_|Sg	50	pn	_	(3)
52	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	natürlich	natürlich	ADV	ADJD	Pos|	13	pred	_	-
3	,	,	$,	$,	_	0	root	_	-
4	so	so	ADV	ADV	_	5	adv	_	(1
5	Trittin	Trittin	N	NE	_	2	par	_	1)
6	,	,	$,	$,	_	0	root	_	-
7	müßten	müssen	V	VMFIN	3|Pl|Past|Subj	1	cj	_	-
8	bei	bei	PREP	APPR	Dat	13	pp	_	-
9	Koalitionsverhandlungen	Koalitionsverhandlung	N	NN	Fem|Dat|Pl	8	pn	_	(6)
10	alle	alle	ART	PIDAT	_|Nom|Pl	11	det	_	-
11	Beteiligten	Beteiligte	N	NN	_|Nom|Pl	7	subj	_	-
12	Kompromisse	Kompromiss	N	NN	_|_|_	13	obja	_	-
13	machen	machen	V	VVINF	_	7	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Bereitschaft	Bereitschaft	N	NN	_|_|Sg	23	obja	_	-
2	zum	zu	PREP	APPRART	Dat	1	pp	_	-
3	Entgegenkommen	Entgegenkommen	N	NN	Neut|Dat|Sg	2	pn	_	-
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
6	Bundesvorstand	Bundesvorstand	N	NN	Masc|Nom|Sg	4	subj	_	-
7	mit	mit	PREP	APPR	Dat	23	pp	_	-
8	dem	die	ART	ART	Def|Masc|Dat|Sg	10	det	_	(2
9	neuen	neu	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	_	-
10	Entwurf	Entwurf	N	NN	Masc|Dat|Sg	7	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	der	die	PRO	PRELS	Masc|Nom|Sg	18	subj	_	(2)
13	gestern	gestern	ADV	ADV	_	17	adv	_	-
14	offiziell	offiziell	ADV	ADJD	Pos|	17	adv	_	-
15	in	in	PREP	APPR	_	17	pp	_	-
16	Bonn	Bonn	N	NE	Neut|_|Sg	15	pn	_	(3)
17	vorgestellt	vorstellen	V	VVPP	_	18	aux	_	-
18	wurde	werden	V	VAFIN	3|Sg|Past|Ind	10	rel	_	2)
19	,	,	$,	$,	_	0	root	_	-
20	auch	auch	ADV	ADV	_	23	adv	_	-
21	nach	nach	PREP	APPR	Dat	23	pp	_	-
22	innen	innen	ADV	ADV	_	21	adv	_	-
23	gezeigt	zeigen	V	VVPP	_	4	aux	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
2	interne	intern	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	-
3	Streit	Streit	N	NN	Masc|Nom|Sg	7	subj	_	-
4	über	über	PREP	APPR	Acc	3	pp	_	-
5	das	die	ART	ART	Def|Neut|Acc|Sg	6	det	_	-
6	Wahlprogramm	Wahlprogramm	N	NN	Neut|Acc|Sg	4	pn	_	-
7	dürfte	dürfen	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
8	beigelegt	beilegen	V	VVPP	_	9	aux	_	-
9	sein	sein	V	VAINF	_	7	aux	_	-
10	,	,	$,	$,	_	0	root	_	-
11	nachdem	nachdem	KOUS	KOUS	_	18	konj	_	-
12	einige	einige	ART	PIAT	Fem|Nom|Pl	14	det	_	-
13	wesentliche	wesentlich	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	14	attr	_	-
14	Änderungen	Änderung	N	NN	Fem|Nom|Pl	18	subj	_	-
15	und	und	KON	KON	_	14	kon	_	-
16	Ergänzungen	Ergänzung	N	NN	Fem|Nom|Pl	15	cj	_	-
17	eingearbeitet	einarbeiten	V	VVPP	_	18	aux	_	-
18	wurden	werden	V	VAFIN	3|Pl|Past|Ind	7	neb	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Vor	vor	PREP	APPR	Dat	4	pp	_	-
2	allem	alle	PRO	PIS	_|Dat|Sg	1	pn	_	-
3	der	die	ART	ART	Def|Fem|Dat|Sg	4	det	_	-
4	Kritik	Kritik	N	NN	Fem|Dat|Sg	19	objd	_	-
5	am	an	PREP	APPRART	Dat	4	pp	_	-
6	außenpolitischen	außenpolitisch	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	7	attr	_	(4
7	Teil	Teil	N	NN	_|Dat|Sg	5	pn	_	4)
8	,	,	$,	$,	_	0	root	_	-
9	die	die	PRO	PRELS	Fem|Nom|Sg	15	subj	_	(4)
10	aus	aus	PREP	APPR	Dat	13	pp	_	-
11	dem	die	ART	ART	Def|Neut|Dat|Sg	12	det	_	-
12	Realo-Lager	Realo-Lager	N	NN	Neut|Dat|Sg	10	pn	_	-
13	geübt	üben	V	VVPP	_	14	aux	_	-
14	worden	werden	V	VAPP	_	15	aux	_	-
15	war	sein	V	VAFIN	3|Sg|Past|Ind	4	rel	_	-
16	,	,	$,	$,	_	0	root	_	-
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
18	Rechnung	Rechnung	N	NN	Fem|Nom|Sg	17	subj	_	-
19	getragen	tragen	V	VVPP	_	20	aux	_	-
20	worden	werden	V	VAPP	_	17	aux	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Dabei	Dabei	PROAV	PROAV	_	2	pp	_	-
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	der	die	ART	ART	Def|_|_|_	0	root	_	-
5	vom	von	PREP	APPRART	Dat	8	pp	_	-
6	linken	link	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	7	attr	_	-
7	Parteiflügel	Parteiflügel	N	NN	Masc|Dat|Sg	5	pn	_	-
8	dominierte	dominieren	V	VVFIN	_|Sg|Past|_	0	root	_	-
9	Bundesvorstand	Bundesvorstand	N	NN	Masc|Nom|Sg	12	subj	_	-
10	gleichzeitig	gleichzeitig	ADV	ADJD	Pos|	11	adv	_	-
11	darum	darum	PROAV	PROAV	_	9	pp	_	-
12	bemüht	bemühen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
13	,	,	$,	$,	_	0	root	_	-
14	eigene	eigen	ADJA	ADJA	Pos|Fem|_|Pl|St|	15	attr	_	-
15	Positionen	Position	N	NN	Fem|_|Pl	18	obja	_	-
16	dennoch	dennoch	ADV	ADV	_	18	adv	_	-
17	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
18	aufzugeben	aufgeben	V	VVIZU	_	12	obji	_	-
19	.	.	$.	$.	_	0	root	_	-

1	So	so	ADV	ADV	_	2	adv	_	-
2	findet	finden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	in	in	PREP	APPR	Dat	2	pp	_	-
5	dem	die	ART	ART	Def|Neut|Dat|Sg	6	det	_	(5
6	Programm	Programm	N	NN	Neut|Dat|Sg	4	pn	_	5)
7	nach	nach	ADV	ADV	_	2	adv	_	-
8	wie	wie	KOKOM	KOKOM	_	2	kom	_	-
9	vor	vor	ADV	ADV	_	8	cj	_	-
10	der	die	ART	ART	Def|Masc|Nom|Sg	11	det	_	-
11	Satz	Satz	N	NN	Masc|Nom|Sg	2	subj	_	-
12	:	\:	$.	$.	_	0	root	_	-
13	"	"	$(	$(	_	0	root	_	-
14	Militärische	militärisch	ADJA	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	-
15	Friedenserzwingung	Friedenserzwingung	N	NN	Fem|_|Sg	18	obja	_	-
16	und	und	KON	KON	_	15	kon	_	-
17	Kampfeinsätze	Kampfeinsatz	N	NN	Masc|_|Pl	16	cj	_	-
